feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium_XI;s__;d__denovo54	groupcontrol	-0.330866	0.631623	-0.5238	6.00e-1	9.19e-1	0.2113	0.0045	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__;d__denovo34	groupcontrol	0.260936	0.323363	0.8069	4.20e-1	8.28e-1	0.7143	0.0071	high	not_significant
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__;d__denovo619	groupcontrol	-0.170498	0.413606	-0.4122	6.80e-1	9.41e-1	0.1071	0.0001	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo618	groupcontrol	-0.108443	0.401202	-0.2703	7.87e-1	9.60e-1	0.1339	0.0001	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo614	groupcontrol	-1.425203	0.309687	-4.6021	4.18e-6	3.65e-5	0.1935	0.0001	low	very_high
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__;d__denovo612	groupcontrol	-0.046744	0.368312	-0.1269	8.99e-1	9.86e-1	0.1071	0.0001	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo611	groupcontrol	-0.704696	1.054062	-0.6686	5.04e-1	8.92e-1	0.1101	0.0001	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo610	groupcontrol	0.609690	0.320621	1.9016	5.72e-2	2.39e-1	0.1815	0.0001	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__;d__denovo1182	groupcontrol	4.603726	0.412715	11.1547	0.00e0	0.00e0	0.1012	0.0000	low	very_high
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__;s__;d__denovo428	groupcontrol	1.131525	0.417699	2.7089	6.75e-3	3.75e-2	0.1667	0.0001	low	moderate
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo422	groupcontrol	0.372362	0.509046	0.7315	4.64e-1	8.51e-1	0.1429	0.0001	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__;d__denovo423	groupcontrol	0.320120	0.572866	0.5588	5.76e-1	9.18e-1	0.1101	0.0002	low	not_significant
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__;g__;s__;d__denovo424	groupcontrol	-0.233546	0.408329	-0.5720	5.67e-1	9.13e-1	0.1429	0.0003	low	not_significant
