feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium_XI;s__;d__denovo54	groupcontrol	-0.105989	0.175853	-0.6027	5.47e-1	9.96e-1	0.2113	0.1749	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__;d__denovo34	groupcontrol	0.091333	0.197726	0.4619	6.44e-1	9.96e-1	0.7143	1.6507	high	not_significant
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__;d__denovo619	groupcontrol	-0.046343	0.075727	-0.6120	5.41e-1	9.96e-1	0.1071	-0.3083	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo618	groupcontrol	-0.031052	0.058325	-0.5324	5.95e-1	9.96e-1	0.1339	-0.2937	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo614	groupcontrol	-0.072751	0.056706	-1.2830	2.00e-1	9.96e-1	0.1935	-0.2334	low	not_significant
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__;d__denovo612	groupcontrol	-0.013313	0.076968	-0.1730	8.63e-1	9.96e-1	0.1071	-0.3045	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo611	groupcontrol	0.046189	0.060502	0.7634	4.46e-1	9.96e-1	0.1101	-0.3085	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo610	groupcontrol	-0.020470	0.058648	-0.3490	7.27e-1	9.96e-1	0.1815	-0.2396	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__;d__denovo1182	groupcontrol	0.036401	0.045598	0.7983	4.25e-1	9.96e-1	0.1012	-0.3669	low	not_significant
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__;s__;d__denovo428	groupcontrol	0.144217	0.075992	1.8978	5.86e-2	9.96e-1	0.1667	-0.2115	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo422	groupcontrol	-0.029564	0.071879	-0.4113	6.81e-1	9.96e-1	0.1429	-0.2308	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__;d__denovo423	groupcontrol	-0.037600	0.073073	-0.5146	6.07e-1	9.96e-1	0.1101	-0.2871	low	not_significant
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__;g__;s__;d__denovo424	groupcontrol	0.032399	0.093121	0.3479	7.28e-1	9.96e-1	0.1429	-0.2250	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo425	groupcontrol	-0.118556	0.069092	-1.7159	8.71e-2	9.96e-1	0.1220	-0.2674	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo991	groupcontrol	0.026587	0.045308	0.5868	5.58e-1	9.96e-1	0.1131	-0.3444	low	not_significant
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__;s__;d__denovo997	groupcontrol	-0.000740	0.054579	-0.0136	9.89e-1	9.96e-1	0.1012	-0.3565	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__;d__denovo71	groupcontrol	-0.071479	0.169308	-0.4222	6.73e-1	9.96e-1	0.4077	0.7664	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__;d__denovo76	groupcontrol	-0.275231	0.160906	-1.7105	8.81e-2	9.96e-1	0.3661	0.5990	medium	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo674	groupcontrol	0.040765	0.053434	0.7629	4.46e-1	9.96e-1	0.1220	-0.2992	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo672	groupcontrol	0.056437	0.054993	1.0263	3.06e-1	9.96e-1	0.1994	-0.2426	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo1195	groupcontrol	-0.065556	0.043461	-1.5084	1.32e-1	9.96e-1	0.1071	-0.3621	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo934	groupcontrol	0.000834	0.047583	0.0175	9.86e-1	9.96e-1	0.1131	-0.3409	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__;d__denovo446	groupcontrol	-0.038890	0.068675	-0.5663	5.72e-1	9.96e-1	0.2173	-0.1526	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__;d__denovo447	groupcontrol	0.019077	0.070556	0.2704	7.87e-1	9.96e-1	0.1667	-0.2006	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__;d__denovo444	groupcontrol	0.093640	0.072929	1.2840	2.00e-1	9.96e-1	0.1786	-0.1911	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__;d__denovo442	groupcontrol	0.107511	0.072410	1.4847	1.39e-1	9.96e-1	0.1696	-0.2055	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__;d__denovo440	groupcontrol	-0.023030	0.068680	-0.3353	7.38e-1	9.96e-1	0.2381	-0.1265	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo1080	groupcontrol	-0.011302	0.044502	-0.2540	8.00e-1	9.96e-1	0.1190	-0.3465	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__;d__denovo1082	groupcontrol	-0.002935	0.045429	-0.0646	9.49e-1	9.96e-1	0.1131	-0.3527	low	not_significant
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__;s__;d__denovo1089	groupcontrol	-0.001709	0.053280	-0.0321	9.74e-1	9.96e-1	0.1012	-0.3602	low	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__;d__denovo385	groupcontrol	-0.067677	0.076113	-0.8892	3.75e-1	9.96e-1	0.1518	-0.2106	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVa;s__;d__denovo387	groupcontrol	-0.008619	0.073507	-0.1172	9.07e-1	9.96e-1	0.1220	-0.2748	low	not_significant
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__;s__;d__denovo388	groupcontrol	0.041248	0.086309	0.4779	6.33e-1	9.96e-1	0.2768	-0.0565	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea_incertae_sedis;s__;d__denovo129	groupcontrol	-0.023530	0.133524	-0.1762	8.60e-1	9.96e-1	0.2917	0.2555	medium	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo659	groupcontrol	0.009184	0.056360	0.1630	8.71e-1	9.96e-1	0.1786	-0.2521	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__;d__denovo653	groupcontrol	-0.035425	0.058332	-0.6073	5.44e-1	9.96e-1	0.1131	-0.3223	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo656	groupcontrol	-0.076867	0.054143	-1.4197	1.57e-1	9.96e-1	0.1726	-0.2552	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo654	groupcontrol	-0.123638	0.055069	-2.2451	2.54e-2	9.96e-1	0.1756	-0.2563	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo1275	groupcontrol	0.000623	0.039186	0.0159	9.87e-1	9.96e-1	0.1042	-0.3694	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo464	groupcontrol	0.069975	0.067575	1.0355	3.01e-1	9.96e-1	0.2649	-0.1161	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo465	groupcontrol	-0.025134	0.068413	-0.3674	7.14e-1	9.96e-1	0.1429	-0.2402	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea_incertae_sedis;s__;d__denovo466	groupcontrol	0.046565	0.062282	0.7476	4.55e-1	9.96e-1	0.1310	-0.2767	low	not_significant
