feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__;d__denovo7357	groupcontrol	NaN	1.044466	NaN	NaN	1.00e0	0.1200	0.0000	low	not_significant
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella;s__;d__denovo1772	groupcontrol	0.208584	0.587040	0.3553	7.22e-1	1.00e0	0.2300	0.0000	low	not_significant
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__;d__denovo1773	groupcontrol	-1.279172	1.141670	-1.1204	2.63e-1	1.00e0	0.1100	0.0000	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;d__denovo1770	groupcontrol	-0.516782	0.666194	-0.7757	4.38e-1	1.00e0	0.2100	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__;d__denovo1771	groupcontrol	0.135735	0.580965	0.2336	8.15e-1	1.00e0	0.2500	0.0000	medium	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo1776	groupcontrol	-0.696894	0.658792	-1.0578	2.90e-1	1.00e0	0.2400	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__;d__denovo1777	groupcontrol	-5.456572	0.540105	-10.1028	0.00e0	0.00e0	0.2700	0.0000	medium	very_high
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo1774	groupcontrol	-1.364279	0.459228	-2.9708	2.97e-3	3.65e-2	0.2200	0.0000	low	moderate
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__;d__denovo1775	groupcontrol	-0.558733	0.634220	-0.8810	3.78e-1	1.00e0	0.2500	0.0000	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__;d__denovo725	groupcontrol	-1.353921	1.102381	-1.2282	2.19e-1	1.00e0	0.2400	0.0001	low	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__;d__denovo8445	groupcontrol	-11.812455	1.105544	-10.6847	0.00e0	0.00e0	0.1000	0.0000	low	very_high
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__;d__denovo9314	groupcontrol	NaN	0.781736	NaN	NaN	1.00e0	0.1100	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__;d__denovo5929	groupcontrol	5.377584	1.059098	5.0775	3.82e-7	6.24e-6	0.1000	0.0000	low	very_high
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__;d__denovo4009	groupcontrol	NaN	1.040833	NaN	NaN	1.00e0	0.1300	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_XVIII;s__;d__denovo4003	groupcontrol	-0.736969	0.546067	-1.3496	1.77e-1	1.00e0	0.1600	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera;s__;d__denovo4002	groupcontrol	0.000000	NaN	NaN	NaN	1.00e0	0.1500	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__;d__denovo4001	groupcontrol	-0.277451	1.477540	-0.1878	8.51e-1	1.00e0	0.1200	0.0000	low	not_significant
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella;s__;d__denovo4007	groupcontrol	-4.838574	0.709083	-6.8237	8.87e-12	1.74e-10	0.1500	0.0000	low	very_high
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__;d__denovo4006	groupcontrol	NaN	1.035098	NaN	NaN	1.00e0	0.1500	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_incertae_sedis;s__;d__denovo4005	groupcontrol	-0.508094	0.827749	-0.6138	5.39e-1	1.00e0	0.1100	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__;d__denovo4004	groupcontrol	1.063378	1.044468	1.0181	3.09e-1	1.00e0	0.1200	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum;s__;d__denovo4407	groupcontrol	NaN	1.037749	NaN	NaN	1.00e0	0.1400	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__;d__denovo66	groupcontrol	0.268384	0.937249	0.2864	7.75e-1	1.00e0	0.4900	0.0030	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium_XI;s__;d__denovo3851	groupcontrol	518.955543	100000.000002	0.0052	9.96e-1	1.00e0	0.1000	0.0000	low	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__;d__denovo3850	groupcontrol	-0.097036	1.049849	-0.0924	9.26e-1	1.00e0	0.1100	0.0000	low	not_significant
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella;s__;d__denovo3853	groupcontrol	0.533526	0.600926	0.8878	3.75e-1	1.00e0	0.1300	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Dialister;s__;d__denovo3852	groupcontrol	NaN	1.048809	NaN	NaN	1.00e0	0.1100	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea_incertae_sedis;s__;d__denovo3856	groupcontrol	-0.000000	0.658281	-0.0000	1.00e0	1.00e0	0.1300	0.0000	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo1981	groupcontrol	0.075308	1.047934	0.0719	9.43e-1	1.00e0	0.1000	0.0000	low	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Olsenella;s__;d__denovo1980	groupcontrol	0.410172	0.852326	0.4812	6.30e-1	1.00e0	0.1900	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__;d__denovo1985	groupcontrol	0.124530	0.641783	0.1940	8.46e-1	1.00e0	0.2300	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__;d__denovo1984	groupcontrol	-0.495656	1.919729	-0.2582	7.96e-1	1.00e0	0.1600	0.0000	low	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Olsenella;s__;d__denovo1986	groupcontrol	0.723530	0.827048	0.8748	3.82e-1	1.00e0	0.2100	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__;d__denovo1988	groupcontrol	-1.406410	0.878514	-1.6009	1.09e-1	7.55e-1	0.1700	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Dialister;s__;d__denovo6448	groupcontrol	0.000000	0.774597	0.0000	1.00e0	1.00e0	0.1200	0.0000	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo1341	groupcontrol	0.537123	0.671889	0.7994	4.24e-1	1.00e0	0.2000	0.0000	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo2773	groupcontrol	0.000000	NaN	NaN	NaN	1.00e0	0.1900	0.0000	low	not_significant
k__Bacteria;p__;c__;o__;f__;g__;s__;d__denovo1778	groupcontrol	1.418960	0.881692	1.6094	1.08e-1	7.50e-1	0.2200	0.0000	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;d__denovo6513	groupcontrol	0.000000	NaN	NaN	NaN	1.00e0	0.1000	0.0000	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__;d__denovo6510	groupcontrol	0.000000	NaN	NaN	NaN	1.00e0	0.1200	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Dialister;s__;d__denovo4853	groupcontrol	NaN	1.037749	NaN	NaN	1.00e0	0.1400	0.0000	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo4855	groupcontrol	0.428728	0.831156	0.5158	6.06e-1	1.00e0	0.1200	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera;s__;d__denovo4857	groupcontrol	NaN	0.768706	NaN	NaN	1.00e0	0.1300	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVa;s__;d__denovo8169	groupcontrol	12.332793	0.889755	13.8609	0.00e0	0.00e0	0.1100	0.0000	low	very_high
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;d__denovo8160	groupcontrol	NaN	0.781736	NaN	NaN	1.00e0	0.1100	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__;d__denovo8162	groupcontrol	NaN	1.054093	NaN	NaN	1.00e0	0.1000	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__;d__denovo8163	groupcontrol	-516.722894	35355.338948	-0.0146	9.88e-1	1.00e0	0.1100	0.0000	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo4524	groupcontrol	0.144137	1.040834	0.1385	8.90e-1	1.00e0	0.1300	0.0000	low	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__;d__denovo5254	groupcontrol	-0.400013	1.324126	-0.3021	7.63e-1	1.00e0	0.1500	0.0000	low	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__;d__denovo2862	groupcontrol	0.000000	0.747546	0.0000	1.00e0	1.00e0	0.1900	0.0000	low	not_significant
