feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__;d__denovo7357	groupcontrol	-0.050417	0.103927	-0.4851	6.29e-1	9.89e-1	0.1200	-0.1615	low	not_significant
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella;s__;d__denovo1772	groupcontrol	0.283235	0.192210	1.4736	1.44e-1	9.89e-1	0.2300	0.0364	low	not_significant
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__;d__denovo1773	groupcontrol	-0.111390	0.200614	-0.5552	5.80e-1	9.89e-1	0.1100	-0.0831	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;d__denovo1770	groupcontrol	-0.058639	0.179722	-0.3263	7.45e-1	9.89e-1	0.2100	0.0428	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__;d__denovo1771	groupcontrol	0.121682	0.181660	0.6698	5.05e-1	9.89e-1	0.2500	0.0748	medium	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo1776	groupcontrol	-0.127021	0.189059	-0.6719	5.03e-1	9.89e-1	0.2400	0.0705	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__;d__denovo1777	groupcontrol	0.207441	0.171097	1.2124	2.28e-1	9.89e-1	0.2700	0.0688	medium	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo1774	groupcontrol	0.234954	0.200099	1.1742	2.43e-1	9.89e-1	0.2200	0.0559	low	not_significant
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__;d__denovo1775	groupcontrol	-0.015432	0.175384	-0.0880	9.30e-1	9.97e-1	0.2500	0.0781	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__;d__denovo725	groupcontrol	-0.474108	0.242348	-1.9563	5.33e-2	9.89e-1	0.2400	0.2144	low	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__;d__denovo8445	groupcontrol	0.013113	0.095776	0.1369	8.91e-1	9.92e-1	0.1000	-0.1852	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__;d__denovo9314	groupcontrol	0.056101	0.093442	0.6004	5.50e-1	9.89e-1	0.1100	-0.1878	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__;d__denovo5929	groupcontrol	0.068635	0.110983	0.6184	5.38e-1	9.89e-1	0.1000	-0.1697	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__;d__denovo4009	groupcontrol	-0.106776	0.134834	-0.7919	4.30e-1	9.89e-1	0.1300	-0.1152	low	not_significant
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_XVIII;s__;d__denovo4003	groupcontrol	0.289361	0.145041	1.9950	4.88e-2	9.89e-1	0.1600	-0.1065	low	not_significant
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera;s__;d__denovo4002	groupcontrol	-0.214730	0.125357	-1.7129	8.99e-2	9.89e-1	0.1500	-0.0878	low	not_significant
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__;d__denovo4001	groupcontrol	-0.053746	0.121424	-0.4426	6.59e-1	9.89e-1	0.1200	-0.1303	low	not_significant
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella;s__;d__denovo4007	groupcontrol	0.111798	0.147991	0.7554	4.52e-1	9.89e-1	0.1500	-0.1114	low	not_significant
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__;d__denovo4006	groupcontrol	-0.122929	0.135291	-0.9086	3.66e-1	9.89e-1	0.1500	-0.1020	low	not_significant
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_incertae_sedis;s__;d__denovo4005	groupcontrol	0.160500	0.122221	1.3132	1.92e-1	9.89e-1	0.1100	-0.1369	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__;d__denovo4004	groupcontrol	-0.015363	0.149774	-0.1026	9.19e-1	9.96e-1	0.1200	-0.1180	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum;s__;d__denovo4407	groupcontrol	-0.111597	0.118764	-0.9397	3.50e-1	9.89e-1	0.1400	-0.1113	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__;d__denovo66	groupcontrol	-0.529346	0.597278	-0.8863	3.78e-1	9.89e-1	0.4900	1.7661	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium_XI;s__;d__denovo3851	groupcontrol	-0.067019	0.133505	-0.5020	6.17e-1	9.89e-1	0.1000	-0.1478	low	not_significant
