taxon	method	n_significant	n_tested	replication_score	direction_consistent	mean_effect
d__denovo7086	hurdle	1	4	0.25	True	-2.895493
d__denovo20976	hurdle	1	4	0.25	True	-4.844735
d__denovo18125	hurdle	1	4	0.25	True	-11.699719
d__denovo15591	hurdle	1	4	0.25	True	4.551279
d__denovo21851	hurdle	1	4	0.25	True	-2.875651
d__denovo19789	hurdle	1	4	0.25	True	22.994238
d__denovo6889	hurdle	1	4	0.25	False	3.2606855
d__denovo9648	hurdle	1	4	0.25	True	5.439222
d__denovo13744	hurdle	1	4	0.25	True	-9.066859
d__denovo19970	hurdle	1	4	0.25	True	-9.584623
d__denovo7957	hurdle	1	4	0.25	True	-8.33143
d__denovo13400	hurdle	1	4	0.25	True	-1.648001
d__denovo9954	hurdle	1	4	0.25	True	-4099579.360291
d__denovo4333	hurdle	1	4	0.25	False	
d__denovo4435	hurdle	2	4	0.5	False	0.8586710000000001
d__denovo16061	hurdle	1	4	0.25	True	-6.422916
d__denovo22470	hurdle	1	4	0.25	True	26.27111
d__denovo9926	hurdle	1	4	0.25	True	-2.675004
d__denovo4361	hurdle	1	4	0.25	True	8.257899
d__denovo17497	hurdle	1	4	0.25	True	7.930775
d__denovo11407	hurdle	1	4	0.25	True	1.817294
d__denovo17259	hurdle	1	4	0.25	True	-2.235404
d__denovo15444	hurdle	1	4	0.25	True	6.878857
d__denovo8353	hurdle	1	4	0.25	True	3.39415
d__denovo1534	hurdle	1	4	0.25	True	-1.589497
d__denovo8471	hurdle	1	4	0.25	False	1.7473135
d__denovo29033	hurdle	1	4	0.25	True	30.65299
d__denovo10204	hurdle	1	4	0.25	True	4.654074
d__denovo14859	hurdle	1	4	0.25	True	14.818617
d__denovo8907	hurdle	1	4	0.25	False	-8.717964
d__denovo11917	hurdle	1	4	0.25	True	10.46323
d__denovo3454	hurdle	1	4	0.25	True	2.367995
d__denovo17087	hurdle	1	4	0.25	True	-3.651491
d__denovo2159	hurdle	1	4	0.25	True	1.3389695
d__denovo18152	hurdle	1	4	0.25	True	9.889553
d__denovo2978	hurdle	1	4	0.25	True	-3.339906
d__denovo4638	hurdle	1	4	0.25	True	2.67184
d__denovo6090	hurdle	1	4	0.25	False	-0.11096299999999998
d__denovo10321	hurdle	1	4	0.25	True	-4.713417
d__denovo7203	hurdle	1	4	0.25	True	1.8587285000000002
d__denovo25134	hurdle	1	4	0.25	True	3.033495
