feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
d__denovo56	groupcontrol	1.695858	1.106125	1.5332	1.25e-1	6.14e-1	0.1628	0.0055	low	not_significant
d__denovo452	groupcontrol	5.299840	1.079406	4.9100	9.11e-7	1.74e-5	0.1163	0.0002	low	very_high
d__denovo323	groupcontrol	-0.347074	0.904241	-0.3838	7.01e-1	1.00e0	0.2093	0.0003	low	not_significant
d__denovo324	groupcontrol	-2.182063	0.951294	-2.2938	2.18e-2	2.15e-1	0.1395	0.0002	low	not_significant
d__denovo187	groupcontrol	2.459331	0.974749	2.5230	1.16e-2	1.18e-1	0.1163	0.0012	low	suggestive
d__denovo186	groupcontrol	0.856129	1.046509	0.8181	4.13e-1	9.93e-1	0.1163	0.0007	low	not_significant
d__denovo184	groupcontrol	-14.469043	0.621059	-23.2974	0.00e0	0.00e0	0.3953	0.0007	medium	very_high
d__denovo437	groupcontrol	NaN	0.763763	NaN	NaN	1.00e0	0.1628	0.0003	low	not_significant
d__denovo434	groupcontrol	NaN	0.707107	NaN	NaN	1.00e0	0.1860	0.0003	low	not_significant
d__denovo439	groupcontrol	NaN	0.763763	NaN	NaN	1.00e0	0.1628	0.0002	low	not_significant
d__denovo504	groupcontrol	452.343098	50000.024671	0.0090	9.93e-1	1.00e0	0.1395	0.0002	low	not_significant
d__denovo372	groupcontrol	0.000000	NaN	NaN	NaN	1.00e0	0.1395	0.0003	low	not_significant
d__denovo335	groupcontrol	0.000000	NaN	NaN	NaN	1.00e0	0.1395	0.0003	low	not_significant
d__denovo332	groupcontrol	NaN	0.690066	NaN	NaN	1.00e0	0.2326	0.0003	low	not_significant
d__denovo199	groupcontrol	-0.928000	0.534523	-1.7361	8.25e-2	4.96e-1	0.3256	0.0007	medium	not_significant
d__denovo191	groupcontrol	-398.956858	57735.028219	-0.0069	9.94e-1	1.00e0	0.1628	0.0009	low	not_significant
d__denovo192	groupcontrol	-0.131578	0.557802	-0.2359	8.14e-1	1.00e0	0.3721	0.0007	medium	not_significant
d__denovo193	groupcontrol	-1.057032	0.976476	-1.0825	2.79e-1	8.75e-1	0.1628	0.0004	low	not_significant
d__denovo196	groupcontrol	-0.888125	0.972994	-0.9128	3.61e-1	9.58e-1	0.1163	0.0006	low	not_significant
d__denovo420	groupcontrol	NaN	0.836660	NaN	NaN	1.00e0	0.1628	0.0002	low	not_significant
d__denovo421	groupcontrol	NaN	0.912871	NaN	NaN	1.00e0	0.1163	0.0002	low	not_significant
d__denovo423	groupcontrol	485.707698	70710.685219	0.0069	9.95e-1	1.00e0	0.1628	0.0002	low	not_significant
d__denovo424	groupcontrol	NaN	0.816497	NaN	NaN	1.00e0	0.1860	0.0002	low	not_significant
d__denovo425	groupcontrol	NaN	1.118034	NaN	NaN	1.00e0	0.1163	0.0002	low	not_significant
d__denovo426	groupcontrol	654.919373	100000.000003	0.0065	9.95e-1	1.00e0	0.1163	0.0002	low	not_significant
d__denovo514	groupcontrol	NaN	0.912871	NaN	NaN	1.00e0	0.1163	0.0002	low	not_significant
d__denovo516	groupcontrol	0.542449	0.912871	0.5942	5.52e-1	1.00e0	0.1163	0.0001	low	not_significant
d__denovo510	groupcontrol	NaN	0.912871	NaN	NaN	1.00e0	0.1163	0.0002	low	not_significant
d__denovo243	groupcontrol	1.966495	0.995286	1.9758	4.82e-2	3.58e-1	0.1163	0.0004	low	not_significant
d__denovo459	groupcontrol	-0.253329	0.912871	-0.2775	7.81e-1	1.00e0	0.1163	0.0002	low	not_significant
d__denovo457	groupcontrol	NaN	1.095445	NaN	NaN	1.00e0	0.1395	0.0002	low	not_significant
d__denovo290	groupcontrol	-0.375296	1.115367	-0.3365	7.37e-1	1.00e0	0.1628	0.0003	low	not_significant
d__denovo297	groupcontrol	-1.043328	0.816497	-1.2778	2.01e-1	7.89e-1	0.1395	0.0003	low	not_significant
d__denovo294	groupcontrol	-16.637208	0.866025	-19.2110	0.00e0	0.00e0	0.1860	0.0004	low	very_high
d__denovo679	groupcontrol	NaN	0.912871	NaN	NaN	1.00e0	0.1163	0.0001	low	not_significant
d__denovo248	groupcontrol	-0.423642	0.754992	-0.5611	5.75e-1	1.00e0	0.1860	0.0005	low	not_significant
d__denovo242	groupcontrol	-0.380796	0.765141	-0.4977	6.19e-1	1.00e0	0.2326	0.0005	low	not_significant
d__denovo447	groupcontrol	5.133467	1.226333	4.1860	2.84e-5	5.09e-4	0.1163	0.0002	low	very_high
d__denovo444	groupcontrol	NaN	0.707107	NaN	NaN	1.00e0	0.1860	0.0002	low	not_significant
d__denovo288	groupcontrol	4.431481	1.382616	3.2051	1.35e-3	1.87e-2	0.2093	0.0003	low	moderate
d__denovo289	groupcontrol	-0.703263	0.811076	-0.8671	3.86e-1	9.91e-1	0.1628	0.0003	low	not_significant
d__denovo282	groupcontrol	1.358143	1.382165	0.9826	3.26e-1	9.30e-1	0.1628	0.0004	low	not_significant
d__denovo660	groupcontrol	NaN	1.118034	NaN	NaN	1.00e0	0.1163	0.0001	low	not_significant
d__denovo188	groupcontrol	NaN	1.080123	NaN	NaN	1.00e0	0.1628	0.0009	low	not_significant
d__denovo384	groupcontrol	1.025779	0.917519	1.1180	2.64e-1	8.56e-1	0.1163	0.0004	low	not_significant
d__denovo387	groupcontrol	NaN	0.866025	NaN	NaN	1.00e0	0.1395	0.0002	low	not_significant
d__denovo386	groupcontrol	0.943799	0.983260	0.9599	3.37e-1	9.35e-1	0.1163	0.0002	low	not_significant
d__denovo381	groupcontrol	1.025779	0.917519	1.1180	2.64e-1	8.56e-1	0.1163	0.0002	low	not_significant
d__denovo380	groupcontrol	NaN	0.707107	NaN	NaN	1.00e0	0.1860	0.0002	low	not_significant
d__denovo383	groupcontrol	NaN	1.118034	NaN	NaN	1.00e0	0.1163	0.0002	low	not_significant
d__denovo382	groupcontrol	-0.192018	1.127229	-0.1703	8.65e-1	1.00e0	0.1395	0.0002	low	not_significant
d__denovo388	groupcontrol	0.203363	0.707107	0.2876	7.74e-1	1.00e0	0.1860	0.0003	low	not_significant
d__denovo475	groupcontrol	NaN	1.118034	NaN	NaN	1.00e0	0.1163	0.0002	low	not_significant
d__denovo474	groupcontrol	-5.299840	1.079406	-4.9100	9.11e-7	1.74e-5	0.1163	0.0002	low	very_high
d__denovo270	groupcontrol	7.128381	0.816302	8.7325	0.00e0	0.00e0	0.2326	0.0003	low	very_high
d__denovo273	groupcontrol	-1.255199	0.739496	-1.6974	8.96e-2	5.06e-1	0.1860	0.0003	low	not_significant
d__denovo272	groupcontrol	1.690602	0.997736	1.6944	9.02e-2	5.06e-1	0.1860	0.0003	low	not_significant
d__denovo274	groupcontrol	0.499641	0.730297	0.6842	4.94e-1	1.00e0	0.1860	0.0004	low	not_significant
d__denovo277	groupcontrol	-0.714140	0.876239	-0.8150	4.15e-1	9.93e-1	0.1395	0.0004	low	not_significant
d__denovo276	groupcontrol	-0.809791	0.763763	-1.0603	2.89e-1	8.75e-1	0.1628	0.0003	low	not_significant
d__denovo279	groupcontrol	1.683086	1.860678	0.9046	3.66e-1	9.62e-1	0.2093	0.0003	low	not_significant
d__denovo497	groupcontrol	-3841.899986	0.957427	-4012.7337	0.00e0	0.00e0	0.1628	0.0002	low	very_high
d__denovo496	groupcontrol	NaN	0.816497	NaN	NaN	1.00e0	0.1395	0.0002	low	not_significant
d__denovo129	groupcontrol	-0.145833	0.639682	-0.2280	8.20e-1	1.00e0	0.4419	0.0011	medium	not_significant
d__denovo128	groupcontrol	-0.864531	0.436932	-1.9786	4.79e-2	3.58e-1	0.4884	0.0014	medium	not_significant
d__denovo120	groupcontrol	-0.570008	0.712079	-0.8005	4.23e-1	9.93e-1	0.3023	0.0016	medium	not_significant
d__denovo123	groupcontrol	-0.342359	1.097205	-0.3120	7.55e-1	1.00e0	0.1395	0.0013	low	not_significant
d__denovo124	groupcontrol	-0.214977	0.924722	-0.2325	8.16e-1	1.00e0	0.3488	0.0010	medium	not_significant
d__denovo126	groupcontrol	1.303865	0.631119	2.0660	3.88e-2	3.48e-1	0.2791	0.0014	medium	not_significant
d__denovo397	groupcontrol	NaN	0.816497	NaN	NaN	1.00e0	0.1395	0.0002	low	not_significant
d__denovo395	groupcontrol	-0.414428	1.080124	-0.3837	7.01e-1	1.00e0	0.1628	0.0002	low	not_significant
d__denovo390	groupcontrol	NaN	0.763763	NaN	NaN	1.00e0	0.1628	0.0002	low	not_significant
d__denovo465	groupcontrol	NaN	0.836660	NaN	NaN	1.00e0	0.1628	0.0002	low	not_significant
d__denovo462	groupcontrol	NaN	0.763763	NaN	NaN	1.00e0	0.1628	0.0002	low	not_significant
d__denovo463	groupcontrol	-0.253330	0.912871	-0.2775	7.81e-1	1.00e0	0.1163	0.0002	low	not_significant
d__denovo262	groupcontrol	0.000000	0.632456	0.0000	1.00e0	1.00e0	0.2326	0.0004	low	not_significant
d__denovo263	groupcontrol	-1.041158	0.741650	-1.4038	1.60e-1	7.09e-1	0.2326	0.0004	low	not_significant
d__denovo260	groupcontrol	-0.088837	0.827154	-0.1074	9.14e-1	1.00e0	0.1628	0.0004	low	not_significant
d__denovo264	groupcontrol	-0.249592	0.632456	-0.3946	6.93e-1	1.00e0	0.2326	0.0004	low	not_significant
d__denovo269	groupcontrol	-0.840244	0.816497	-1.0291	3.03e-1	8.99e-1	0.1860	0.0003	low	not_significant
d__denovo488	groupcontrol	0.542449	0.912871	0.5942	5.52e-1	1.00e0	0.1163	0.0001	low	not_significant
d__denovo482	groupcontrol	NaN	0.912871	NaN	NaN	1.00e0	0.1163	0.0001	low	not_significant
d__denovo480	groupcontrol	NaN	1.118034	NaN	NaN	1.00e0	0.1163	0.0002	low	not_significant
d__denovo487	groupcontrol	NaN	0.816497	NaN	NaN	1.00e0	0.1395	0.0001	low	not_significant
d__denovo138	groupcontrol	0.897884	0.745368	1.2046	2.28e-1	8.40e-1	0.2093	0.0011	low	not_significant
d__denovo640	groupcontrol	NaN	0.912871	NaN	NaN	1.00e0	0.1163	0.0001	low	not_significant
d__denovo137	groupcontrol	0.302651	0.596426	0.5074	6.12e-1	1.00e0	0.3256	0.0012	medium	not_significant
d__denovo135	groupcontrol	0.707776	0.408249	1.7337	8.30e-2	4.96e-1	0.5581	0.0013	high	not_significant
d__denovo40	groupcontrol	0.825559	0.737576	1.1193	2.63e-1	8.56e-1	0.6047	0.0058	high	not_significant
d__denovo43	groupcontrol	-0.409378	0.505519	-0.8098	4.18e-1	9.93e-1	0.5814	0.0039	high	not_significant
d__denovo44	groupcontrol	0.833410	1.176526	0.7084	4.79e-1	1.00e0	0.3256	0.0044	medium	not_significant
d__denovo1	groupcontrol	-0.608433	0.553676	-1.0989	2.72e-1	8.64e-1	0.6047	0.0989	high	not_significant
d__denovo2	groupcontrol	-0.285682	0.460277	-0.6207	5.35e-1	1.00e0	0.8837	0.0712	very_high	not_significant
d__denovo3	groupcontrol	0.155078	0.601524	0.2578	7.97e-1	1.00e0	0.8140	0.0555	very_high	not_significant
d__denovo4	groupcontrol	0.968214	0.551362	1.7560	7.91e-2	4.92e-1	0.8605	0.0401	very_high	not_significant
d__denovo5	groupcontrol	0.331955	0.489182	0.6786	4.97e-1	1.00e0	0.7907	0.0377	very_high	not_significant
d__denovo6	groupcontrol	1.302930	0.511722	2.5462	1.09e-2	1.18e-1	0.8837	0.0403	very_high	suggestive
d__denovo7	groupcontrol	3.294529	1.152300	2.8591	4.25e-3	5.18e-2	0.1163	0.0196	low	low
d__denovo8	groupcontrol	0.251077	0.545746	0.4601	6.45e-1	1.00e0	0.6047	0.0307	high	not_significant
d__denovo9	groupcontrol	-0.998502	0.821613	-1.2153	2.24e-1	8.40e-1	0.5349	0.0182	high	not_significant
d__denovo257	groupcontrol	0.150295	0.707108	0.2125	8.32e-1	1.00e0	0.1860	0.0004	low	not_significant
d__denovo255	groupcontrol	-617.570357	57735.027333	-0.0107	9.91e-1	1.00e0	0.1163	0.0007	low	not_significant
d__denovo254	groupcontrol	1.026288	1.118035	0.9179	3.59e-1	9.58e-1	0.1163	0.0004	low	not_significant
d__denovo253	groupcontrol	6.201784	0.780903	7.9418	2.00e-15	4.35e-14	0.3023	0.0005	medium	very_high
d__denovo251	groupcontrol	NaN	0.730297	NaN	NaN	1.00e0	0.1860	0.0005	low	not_significant
d__denovo250	groupcontrol	0.504547	0.798187	0.6321	5.27e-1	1.00e0	0.1860	0.0004	low	not_significant
d__denovo130	groupcontrol	-1.135572	1.065594	-1.0657	2.87e-1	8.75e-1	0.1395	0.0014	low	not_significant
d__denovo131	groupcontrol	0.956959	1.188014	0.8055	4.21e-1	9.93e-1	0.1628	0.0011	low	not_significant
d__denovo109	groupcontrol	1.733769	0.853718	2.0308	4.23e-2	3.58e-1	0.2326	0.0025	low	not_significant
d__denovo108	groupcontrol	-0.473556	0.664944	-0.7122	4.76e-1	1.00e0	0.3256	0.0015	medium	not_significant
d__denovo107	groupcontrol	-10000000273.763329	1.154701	-8660254274.9304	0.00e0	0.00e0	0.1163	0.0020	low	very_high
d__denovo106	groupcontrol	-0.186677	1.322181	-0.1412	8.88e-1	1.00e0	0.1163	0.0016	low	not_significant
d__denovo105	groupcontrol	-0.194530	1.019141	-0.1909	8.49e-1	1.00e0	0.2326	0.0015	low	not_significant
d__denovo104	groupcontrol	0.330758	0.609020	0.5431	5.87e-1	1.00e0	0.3721	0.0016	medium	not_significant
d__denovo102	groupcontrol	-0.104940	0.652529	-0.1608	8.72e-1	1.00e0	0.3953	0.0021	medium	not_significant
d__denovo101	groupcontrol	-2.476231	1.236279	-2.0030	4.52e-2	3.58e-1	0.1163	0.0017	low	not_significant
d__denovo100	groupcontrol	2.364631	0.777804	3.0401	2.36e-3	3.01e-2	0.2791	0.0016	medium	moderate
d__denovo92	groupcontrol	-0.427343	0.883807	-0.4835	6.29e-1	1.00e0	0.1860	0.0021	low	not_significant
d__denovo93	groupcontrol	0.278628	0.765030	0.3642	7.16e-1	1.00e0	0.3721	0.0024	medium	not_significant
d__denovo96	groupcontrol	0.007004	0.856289	0.0082	9.93e-1	1.00e0	0.4186	0.0012	medium	not_significant
d__denovo97	groupcontrol	-0.194685	0.884083	-0.2202	8.26e-1	1.00e0	0.2093	0.0019	low	not_significant
d__denovo94	groupcontrol	0.233530	0.998064	0.2340	8.15e-1	1.00e0	0.2558	0.0020	medium	not_significant
d__denovo95	groupcontrol	-0.782111	0.835072	-0.9366	3.49e-1	9.42e-1	0.2326	0.0014	low	not_significant
d__denovo98	groupcontrol	0.164389	1.146462	0.1434	8.86e-1	1.00e0	0.2093	0.0021	low	not_significant
d__denovo99	groupcontrol	0.523194	0.720319	0.7263	4.68e-1	1.00e0	0.3023	0.0018	medium	not_significant
d__denovo79	groupcontrol	0.384469	0.771117	0.4986	6.18e-1	1.00e0	0.3256	0.0022	medium	not_significant
d__denovo70	groupcontrol	-0.310504	1.101680	-0.2818	7.78e-1	1.00e0	0.2093	0.0029	low	not_significant
d__denovo71	groupcontrol	0.744844	0.457287	1.6288	1.03e-1	5.34e-1	0.5116	0.0025	high	not_significant
d__denovo73	groupcontrol	-0.855484	0.764809	-1.1186	2.63e-1	8.56e-1	0.5581	0.0019	high	not_significant
d__denovo74	groupcontrol	-0.118309	0.854963	-0.1384	8.90e-1	1.00e0	0.2558	0.0022	medium	not_significant
d__denovo75	groupcontrol	0.576346	1.159263	0.4972	6.19e-1	1.00e0	0.3023	0.0023	medium	not_significant
d__denovo76	groupcontrol	-0.102288	1.271051	-0.0805	9.36e-1	1.00e0	0.1395	0.0020	low	not_significant
d__denovo77	groupcontrol	-0.087554	0.908725	-0.0963	9.23e-1	1.00e0	0.3721	0.0017	medium	not_significant
d__denovo443	groupcontrol	0.526359	0.928804	0.5667	5.71e-1	1.00e0	0.1163	0.0002	low	not_significant
d__denovo249	groupcontrol	-0.036016	0.769898	-0.0468	9.63e-1	1.00e0	0.2093	0.0004	low	not_significant
d__denovo240	groupcontrol	1.264855	0.671666	1.8832	5.97e-2	4.23e-1	0.2791	0.0006	medium	not_significant
d__denovo241	groupcontrol	1.356597	1.176225	1.1533	2.49e-1	8.56e-1	0.1163	0.0007	low	not_significant
d__denovo244	groupcontrol	0.731079	0.871086	0.8393	4.01e-1	9.93e-1	0.1628	0.0004	low	not_significant
d__denovo245	groupcontrol	NaN	0.730297	NaN	NaN	1.00e0	0.1860	0.0005	low	not_significant
d__denovo247	groupcontrol	1.675263	0.839675	1.9951	4.60e-2	3.58e-1	0.2093	0.0005	low	not_significant
d__denovo110	groupcontrol	0.810110	0.765128	1.0588	2.90e-1	8.75e-1	0.2791	0.0015	medium	not_significant
d__denovo112	groupcontrol	0.660059	0.782627	0.8434	3.99e-1	9.93e-1	0.2791	0.0015	medium	not_significant
d__denovo113	groupcontrol	0.138926	0.649212	0.2140	8.31e-1	1.00e0	0.3953	0.0014	medium	not_significant
d__denovo114	groupcontrol	0.139502	0.614644	0.2270	8.20e-1	1.00e0	0.4186	0.0018	medium	not_significant
d__denovo115	groupcontrol	-0.916693	0.794617	-1.1536	2.49e-1	8.56e-1	0.2791	0.0027	medium	not_significant
d__denovo118	groupcontrol	0.740858	0.753937	0.9827	3.26e-1	9.30e-1	0.3721	0.0016	medium	not_significant
d__denovo119	groupcontrol	-0.741328	1.103194	-0.6720	5.02e-1	1.00e0	0.1860	0.0019	low	not_significant
d__denovo61	groupcontrol	0.458011	0.814675	0.5622	5.74e-1	1.00e0	0.3721	0.0028	medium	not_significant
d__denovo84	groupcontrol	-1.421241	0.851080	-1.6699	9.49e-2	5.08e-1	0.2093	0.0021	low	not_significant
d__denovo86	groupcontrol	-2.020680	1.469015	-1.3755	1.69e-1	7.36e-1	0.1163	0.0052	low	not_significant
d__denovo81	groupcontrol	0.591021	1.114839	0.5301	5.96e-1	1.00e0	0.1628	0.0020	low	not_significant
d__denovo83	groupcontrol	-3.104806	1.014228	-3.0612	2.20e-3	2.92e-2	0.1628	0.0020	low	moderate
d__denovo82	groupcontrol	-1.291456	0.838394	-1.5404	1.23e-1	6.14e-1	0.1860	0.0020	low	not_significant
d__denovo89	groupcontrol	0.565904	0.981252	0.5767	5.64e-1	1.00e0	0.2558	0.0022	medium	not_significant
d__denovo88	groupcontrol	0.248765	1.420348	0.1751	8.61e-1	1.00e0	0.1628	0.0019	low	not_significant
d__denovo69	groupcontrol	0.503366	0.647946	0.7769	4.37e-1	1.00e0	0.3023	0.0030	medium	not_significant
d__denovo68	groupcontrol	-0.497839	1.008172	-0.4938	6.21e-1	1.00e0	0.1395	0.0033	low	not_significant
d__denovo60	groupcontrol	1.527942	1.123497	1.3600	1.74e-1	7.47e-1	0.1628	0.0029	low	not_significant
d__denovo66	groupcontrol	-0.287528	0.510177	-0.5636	5.73e-1	1.00e0	0.4651	0.0026	medium	not_significant
d__denovo64	groupcontrol	-0.461221	1.253767	-0.3679	7.13e-1	1.00e0	0.1860	0.0027	low	not_significant
d__denovo236	groupcontrol	1.320603	0.728178	1.8136	6.97e-2	4.53e-1	0.2326	0.0006	low	not_significant
d__denovo231	groupcontrol	-0.853239	0.901574	-0.9464	3.44e-1	9.42e-1	0.2791	0.0005	medium	not_significant
d__denovo230	groupcontrol	0.816627	0.974453	0.8380	4.02e-1	9.93e-1	0.1860	0.0005	low	not_significant
d__denovo585	groupcontrol	8327330213.869874	3.654896	2278404267.9285	0.00e0	0.00e0	0.1163	0.0002	low	very_high
d__denovo343	groupcontrol	-1.171674	0.912872	-1.2835	1.99e-1	7.89e-1	0.1163	0.0002	low	not_significant
d__denovo347	groupcontrol	0.000000	0.707107	0.0000	1.00e0	1.00e0	0.1860	0.0003	low	not_significant
d__denovo346	groupcontrol	NaN	1.118034	NaN	NaN	1.00e0	0.1163	0.0002	low	not_significant
d__denovo349	groupcontrol	-0.460151	1.104073	-0.4168	6.77e-1	1.00e0	0.1163	0.0002	low	not_significant
d__denovo165	groupcontrol	0.380518	0.785738	0.4843	6.28e-1	1.00e0	0.3488	0.0008	medium	not_significant
d__denovo162	groupcontrol	NaN	0.866025	NaN	NaN	1.00e0	0.1395	0.0007	low	not_significant
d__denovo169	groupcontrol	NaN	0.677003	NaN	NaN	1.00e0	0.2558	0.0008	medium	not_significant
d__denovo168	groupcontrol	1.346495	1.030365	1.3068	1.91e-1	7.78e-1	0.1395	0.0013	low	not_significant
d__denovo334	groupcontrol	-1.099253	0.912872	-1.2042	2.29e-1	8.40e-1	0.1163	0.0002	low	not_significant
d__denovo239	groupcontrol	-1.520833	1.035292	-1.4690	1.42e-1	6.55e-1	0.1395	0.0004	low	not_significant
d__denovo339	groupcontrol	-0.282371	0.763763	-0.3697	7.12e-1	1.00e0	0.1628	0.0003	low	not_significant
d__denovo232	groupcontrol	-0.317043	0.626784	-0.5058	6.13e-1	1.00e0	0.2558	0.0005	medium	not_significant
d__denovo58	groupcontrol	-1.759095	1.052913	-1.6707	9.48e-2	5.08e-1	0.2558	0.0045	medium	not_significant
d__denovo59	groupcontrol	-0.592343	1.072342	-0.5524	5.81e-1	1.00e0	0.1395	0.0027	low	not_significant
d__denovo54	groupcontrol	-0.234512	0.635803	-0.3688	7.12e-1	1.00e0	0.4651	0.0031	medium	not_significant
d__denovo52	groupcontrol	-0.197513	0.790358	-0.2499	8.03e-1	1.00e0	0.3488	0.0039	medium	not_significant
d__denovo53	groupcontrol	1.230385	0.726060	1.6946	9.02e-2	5.06e-1	0.3488	0.0034	medium	not_significant
d__denovo229	groupcontrol	1.031653	0.821153	1.2563	2.09e-1	8.06e-1	0.2093	0.0006	low	not_significant
d__denovo226	groupcontrol	0.529256	0.728822	0.7262	4.68e-1	1.00e0	0.2093	0.0006	low	not_significant
d__denovo227	groupcontrol	0.086774	0.760829	0.1141	9.09e-1	1.00e0	0.1860	0.0006	low	not_significant
d__denovo225	groupcontrol	2.051603	1.023901	2.0037	4.51e-2	3.58e-1	0.1628	0.0008	low	not_significant
d__denovo223	groupcontrol	0.949805	0.834341	1.1384	2.55e-1	8.56e-1	0.1860	0.0007	low	not_significant
d__denovo220	groupcontrol	0.961384	0.843602	1.1396	2.54e-1	8.56e-1	0.3256	0.0005	medium	not_significant
d__denovo10	groupcontrol	0.055656	0.565383	0.0984	9.22e-1	1.00e0	0.8372	0.0258	very_high	not_significant
d__denovo11	groupcontrol	0.020055	0.777369	0.0258	9.79e-1	1.00e0	0.6977	0.0263	high	not_significant
d__denovo17	groupcontrol	0.396047	0.580724	0.6820	4.95e-1	1.00e0	0.9070	0.0127	very_high	not_significant
d__denovo14	groupcontrol	-3.324542	0.800256	-4.1543	3.26e-5	5.53e-4	0.3023	0.0154	medium	very_high
d__denovo15	groupcontrol	-0.186533	0.617458	-0.3021	7.63e-1	1.00e0	0.6744	0.0141	high	not_significant
d__denovo597	groupcontrol	8332452065.179396	3.654896	2279805635.1835	0.00e0	0.00e0	0.1163	0.0001	low	very_high
d__denovo590	groupcontrol	NaN	0.816497	NaN	NaN	1.00e0	0.1395	0.0001	low	not_significant
d__denovo350	groupcontrol	-5000000076.126343	0.912871	-5477225658.4439	0.00e0	0.00e0	0.2093	0.0003	low	very_high
d__denovo351	groupcontrol	0.653118	1.095690	0.5961	5.51e-1	1.00e0	0.2093	0.0003	low	not_significant
d__denovo357	groupcontrol	-0.336713	1.118035	-0.3012	7.63e-1	1.00e0	0.1163	0.0002	low	not_significant
d__denovo354	groupcontrol	0.000000	0.866026	0.0000	1.00e0	1.00e0	0.1395	0.0005	low	not_significant
d__denovo570	groupcontrol	-10000000040.136253	1.080123	-9258201034.1903	0.00e0	0.00e0	0.1163	0.0002	low	very_high
d__denovo574	groupcontrol	-10000000040.136253	1.080123	-9258201034.1903	0.00e0	0.00e0	0.1163	0.0001	low	very_high
d__denovo683	groupcontrol	0.000000	NaN	NaN	NaN	1.00e0	0.1163	0.0001	low	not_significant
d__denovo177	groupcontrol	-0.719604	0.947228	-0.7597	4.47e-1	1.00e0	0.1628	0.0011	low	not_significant
d__denovo174	groupcontrol	1.496737	0.736654	2.0318	4.22e-2	3.58e-1	0.2326	0.0010	low	not_significant
d__denovo175	groupcontrol	-0.295950	0.855329	-0.3460	7.29e-1	1.00e0	0.1860	0.0006	low	not_significant
d__denovo172	groupcontrol	0.264904	0.545879	0.4853	6.27e-1	1.00e0	0.3488	0.0008	medium	not_significant
d__denovo173	groupcontrol	0.610053	1.042178	0.5854	5.58e-1	1.00e0	0.3721	0.0007	medium	not_significant
d__denovo171	groupcontrol	0.725311	0.726298	0.9986	3.18e-1	9.30e-1	0.3256	0.0010	medium	not_significant
d__denovo178	groupcontrol	-0.228317	0.574403	-0.3975	6.91e-1	1.00e0	0.3256	0.0008	medium	not_significant
d__denovo179	groupcontrol	-2.536544	0.925853	-2.7397	6.15e-3	6.95e-2	0.1163	0.0005	low	low
d__denovo41	groupcontrol	1.127995	0.801527	1.4073	1.59e-1	7.09e-1	0.2326	0.0049	low	not_significant
d__denovo42	groupcontrol	0.931414	0.605337	1.5387	1.24e-1	6.14e-1	0.4186	0.0053	medium	not_significant
d__denovo45	groupcontrol	-0.169513	0.661147	-0.2564	7.98e-1	1.00e0	0.6977	0.0040	high	not_significant
