feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
d__denovo56	groupcontrol	0.232081	0.338756	0.6851	4.97e-1	9.50e-1	0.1628	-0.0986	low	not_significant
d__denovo452	groupcontrol	0.083267	0.135896	0.6127	5.43e-1	9.53e-1	0.1163	-0.3931	low	not_significant
d__denovo323	groupcontrol	-0.150317	0.166078	-0.9051	3.71e-1	9.46e-1	0.2093	-0.2790	low	not_significant
d__denovo324	groupcontrol	0.071334	0.151872	0.4697	6.41e-1	9.77e-1	0.1395	-0.3373	low	not_significant
d__denovo187	groupcontrol	0.301936	0.240045	1.2578	2.16e-1	9.46e-1	0.1163	-0.2972	low	not_significant
d__denovo186	groupcontrol	0.028832	0.255235	0.1130	9.11e-1	9.99e-1	0.1163	-0.2807	low	not_significant
d__denovo184	groupcontrol	0.347291	0.227094	1.5293	1.34e-1	9.46e-1	0.3953	0.0119	medium	not_significant
d__denovo437	groupcontrol	0.057670	0.161720	0.3566	7.23e-1	9.77e-1	0.1628	-0.3538	low	not_significant
d__denovo434	groupcontrol	0.068922	0.146510	0.4704	6.41e-1	9.77e-1	0.1860	-0.3361	low	not_significant
d__denovo439	groupcontrol	0.057670	0.132473	0.4353	6.66e-1	9.77e-1	0.1628	-0.3538	low	not_significant
d__denovo504	groupcontrol	0.126007	0.137648	0.9154	3.65e-1	9.46e-1	0.1395	-0.3872	low	not_significant
d__denovo372	groupcontrol	-0.363695	0.157324	-2.3118	2.59e-2	6.89e-1	0.1395	-0.3478	low	not_significant
d__denovo335	groupcontrol	0.478302	0.165354	2.8926	6.09e-3	6.89e-1	0.1395	-0.3359	low	not_significant
d__denovo332	groupcontrol	0.294267	0.165690	1.7760	8.32e-2	9.07e-1	0.2326	-0.2731	low	not_significant
d__denovo199	groupcontrol	-0.075402	0.238526	-0.3161	7.54e-1	9.77e-1	0.3256	-0.0462	medium	not_significant
d__denovo191	groupcontrol	0.371868	0.245164	1.5168	1.37e-1	9.46e-1	0.1628	-0.2334	low	not_significant
d__denovo192	groupcontrol	0.299259	0.218189	1.3716	1.78e-1	9.46e-1	0.3721	-0.0127	medium	not_significant
d__denovo193	groupcontrol	0.081023	0.225089	0.3600	7.21e-1	9.77e-1	0.1628	-0.2383	low	not_significant
d__denovo196	groupcontrol	0.043299	0.236013	0.1835	8.55e-1	9.82e-1	0.1163	-0.2794	low	not_significant
d__denovo420	groupcontrol	-0.171159	0.142568	-1.2005	2.37e-1	9.46e-1	0.1628	-0.3420	low	not_significant
d__denovo421	groupcontrol	0.188846	0.158174	1.1939	2.39e-1	9.46e-1	0.1163	-0.3794	low	not_significant
d__denovo423	groupcontrol	-0.179461	0.160205	-1.1202	2.69e-1	9.46e-1	0.1628	-0.3379	low	not_significant
d__denovo424	groupcontrol	0.273426	0.142779	1.9150	6.25e-2	8.66e-1	0.1860	-0.3361	low	not_significant
d__denovo425	groupcontrol	0.261706	0.152561	1.7154	9.38e-2	9.07e-1	0.1163	-0.3944	low	not_significant
d__denovo426	groupcontrol	-0.184803	0.153354	-1.2051	2.35e-1	9.46e-1	0.1163	-0.3852	low	not_significant
d__denovo514	groupcontrol	0.146834	0.141690	1.0363	3.06e-1	9.46e-1	0.1163	-0.4009	low	not_significant
d__denovo516	groupcontrol	0.099290	0.135210	0.7343	4.67e-1	9.50e-1	0.1163	-0.4009	low	not_significant
d__denovo510	groupcontrol	-0.050506	0.140091	-0.3605	7.20e-1	9.77e-1	0.1163	-0.4009	low	not_significant
d__denovo243	groupcontrol	0.231504	0.207483	1.1158	2.71e-1	9.46e-1	0.1163	-0.3332	low	not_significant
d__denovo459	groupcontrol	-0.018985	0.136582	-0.1390	8.90e-1	9.94e-1	0.1163	-0.3931	low	not_significant
d__denovo457	groupcontrol	0.299023	0.137708	2.1714	3.57e-2	6.89e-1	0.1395	-0.3753	low	not_significant
d__denovo290	groupcontrol	0.230232	0.174847	1.3168	1.95e-1	9.46e-1	0.1628	-0.3059	low	not_significant
d__denovo297	groupcontrol	-0.046416	0.193646	-0.2397	8.12e-1	9.82e-1	0.1395	-0.3144	low	not_significant
d__denovo294	groupcontrol	0.111249	0.177331	0.6274	5.34e-1	9.53e-1	0.1860	-0.2901	low	not_significant
d__denovo679	groupcontrol	-0.001856	0.121742	-0.0152	9.88e-1	9.99e-1	0.1163	-0.4246	low	not_significant
d__denovo248	groupcontrol	0.165474	0.205601	0.8048	4.26e-1	9.47e-1	0.1860	-0.2449	low	not_significant
