feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
d__denovo7355	groupcontrol	NaN	1.060660	NaN	NaN	1.00e0	0.1023	0.0000	low	not_significant
d__denovo1773	groupcontrol	1.536715	0.778154	1.9748	4.83e-2	2.19e-1	0.2841	0.0000	medium	not_significant
d__denovo1770	groupcontrol	6.632619	0.892987	7.4275	1.11e-13	1.21e-12	0.1250	0.0000	low	very_high
d__denovo1771	groupcontrol	0.661773	0.849965	0.7786	4.36e-1	8.55e-1	0.1818	0.0000	low	not_significant
d__denovo1776	groupcontrol	-0.317771	0.615471	-0.5163	6.06e-1	9.72e-1	0.1591	0.0000	low	not_significant
d__denovo1777	groupcontrol	1.196472	0.622655	1.9216	5.47e-2	2.40e-1	0.2273	0.0000	low	not_significant
d__denovo1775	groupcontrol	0.748743	0.413464	1.8109	7.02e-2	2.88e-1	0.3864	0.0000	medium	not_significant
d__denovo7351	groupcontrol	NaN	1.060660	NaN	NaN	1.00e0	0.1023	0.0000	low	not_significant
d__denovo8444	groupcontrol	NaN	1.054093	NaN	NaN	1.00e0	0.1136	0.0000	low	not_significant
d__denovo8441	groupcontrol	-0.689570	0.725328	-0.9507	3.42e-1	7.79e-1	0.1023	0.0000	low	not_significant
d__denovo4728	groupcontrol	-0.675232	0.632456	-1.0676	2.86e-1	7.11e-1	0.1136	0.0000	low	not_significant
d__denovo2639	groupcontrol	-1.280269	0.712784	-1.7962	7.25e-2	2.95e-1	0.1477	0.0000	low	not_significant
d__denovo9318	groupcontrol	-5.912998	0.773303	-7.6464	2.07e-14	2.28e-13	0.1136	0.0000	low	very_high
d__denovo4002	groupcontrol	15.496859	0.621059	24.9523	0.00e0	0.00e0	0.1932	0.0000	low	very_high
d__denovo4001	groupcontrol	8.359209	0.736836	11.3447	0.00e0	0.00e0	0.1364	0.0000	low	very_high
d__denovo4005	groupcontrol	NaN	0.707107	NaN	NaN	1.00e0	0.1023	0.0000	low	not_significant
d__denovo4004	groupcontrol	-0.130624	0.534523	-0.2444	8.07e-1	1.00e0	0.1591	0.0000	low	not_significant
d__denovo4407	groupcontrol	1.076010	0.633175	1.6994	8.92e-2	3.45e-1	0.1364	0.0000	low	not_significant
d__denovo66	groupcontrol	0.044702	0.437543	0.1022	9.19e-1	1.00e0	0.9205	0.0030	very_high	not_significant
d__denovo3851	groupcontrol	0.679010	0.516398	1.3149	1.89e-1	5.55e-1	0.1818	0.0000	low	not_significant
d__denovo3852	groupcontrol	5.718807	0.855239	6.6868	2.28e-11	2.30e-10	0.2273	0.0000	low	very_high
d__denovo3855	groupcontrol	0.850470	0.537400	1.5826	1.14e-1	4.05e-1	0.1705	0.0000	low	not_significant
d__denovo3856	groupcontrol	1.212557	0.802238	1.5115	1.31e-1	4.45e-1	0.1364	0.0000	low	not_significant
d__denovo3858	groupcontrol	-0.200329	0.806756	-0.2483	8.04e-1	1.00e0	0.2159	0.0000	low	not_significant
d__denovo1981	groupcontrol	0.046763	0.457418	0.1022	9.19e-1	1.00e0	0.2614	0.0000	medium	not_significant
d__denovo1980	groupcontrol	0.271868	0.536303	0.5069	6.12e-1	9.76e-1	0.2841	0.0000	medium	not_significant
d__denovo1983	groupcontrol	1.511644	1.064129	1.4205	1.55e-1	4.97e-1	0.1477	0.0000	low	not_significant
d__denovo1982	groupcontrol	-0.423929	0.661653	-0.6407	5.22e-1	9.15e-1	0.1818	0.0000	low	not_significant
d__denovo1985	groupcontrol	-1.966301	0.505067	-3.8932	9.89e-5	7.20e-4	0.2727	0.0000	medium	very_high
d__denovo1987	groupcontrol	4.623816	0.483207	9.5690	0.00e0	0.00e0	0.3068	0.0000	medium	very_high
d__denovo1989	groupcontrol	0.644936	0.720878	0.8947	3.71e-1	8.06e-1	0.1818	0.0000	low	not_significant
d__denovo1988	groupcontrol	-0.517562	0.555758	-0.9313	3.52e-1	7.87e-1	0.2273	0.0000	low	not_significant
d__denovo6448	groupcontrol	-4.345754	0.686320	-6.3320	2.42e-10	2.38e-9	0.1477	0.0000	low	very_high
d__denovo5251	groupcontrol	0.989995	0.605531	1.6349	1.02e-1	3.82e-1	0.1250	0.0000	low	not_significant
d__denovo1778	groupcontrol	-0.439049	0.956731	-0.4589	6.46e-1	9.95e-1	0.2955	0.0000	medium	not_significant
d__denovo6519	groupcontrol	NaN	0.690066	NaN	NaN	1.00e0	0.1136	0.0000	low	not_significant
d__denovo5358	groupcontrol	0.245093	0.612373	0.4002	6.89e-1	1.00e0	0.1364	0.0000	low	not_significant
