feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
d__denovo7355	groupcontrol	-0.195998	0.103653	-1.8909	6.20e-2	9.25e-1	0.1023	-0.2360	low	not_significant
d__denovo1773	groupcontrol	0.161948	0.173861	0.9315	3.54e-1	9.29e-1	0.2841	0.0614	medium	not_significant
d__denovo1770	groupcontrol	-0.158388	0.144824	-1.0937	2.77e-1	9.27e-1	0.1250	-0.1875	low	not_significant
d__denovo1771	groupcontrol	0.211924	0.178638	1.1863	2.39e-1	9.25e-1	0.1818	-0.0425	low	not_significant
d__denovo1776	groupcontrol	-0.050658	0.169528	-0.2988	7.66e-1	9.89e-1	0.1591	-0.0713	low	not_significant
d__denovo1777	groupcontrol	0.270117	0.182075	1.4835	1.42e-1	9.25e-1	0.2273	0.0153	low	not_significant
d__denovo1775	groupcontrol	0.008839	0.187572	0.0471	9.63e-1	9.95e-1	0.3864	0.2050	medium	not_significant
d__denovo7351	groupcontrol	-0.189182	0.102448	-1.8466	6.82e-2	9.25e-1	0.1023	-0.2405	low	not_significant
d__denovo8444	groupcontrol	-0.185722	0.092419	-2.0096	4.76e-2	9.25e-1	0.1136	-0.2428	low	not_significant
d__denovo8441	groupcontrol	-0.010229	0.090277	-0.1133	9.10e-1	9.93e-1	0.1023	-0.2486	low	not_significant
d__denovo4728	groupcontrol	0.060477	0.121247	0.4988	6.19e-1	9.75e-1	0.1136	-0.2021	low	not_significant
d__denovo2639	groupcontrol	0.096545	0.153064	0.6308	5.30e-1	9.60e-1	0.1477	-0.1262	low	not_significant
d__denovo9318	groupcontrol	0.088196	0.091960	0.9591	3.40e-1	9.29e-1	0.1136	-0.2428	low	not_significant
d__denovo4002	groupcontrol	-0.015058	0.123918	-0.1215	9.04e-1	9.93e-1	0.1932	-0.1185	low	not_significant
d__denovo4001	groupcontrol	-0.005657	0.131283	-0.0431	9.66e-1	9.95e-1	0.1364	-0.1784	low	not_significant
d__denovo4005	groupcontrol	0.266466	0.111779	2.3839	1.93e-2	9.25e-1	0.1023	-0.2287	low	not_significant
d__denovo4004	groupcontrol	0.148842	0.127134	1.1707	2.45e-1	9.25e-1	0.1591	-0.1472	low	not_significant
d__denovo4407	groupcontrol	0.011395	0.117231	0.0972	9.23e-1	9.94e-1	0.1364	-0.1857	low	not_significant
