feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
d__denovo5395	groupcontrol	0.281692	0.742996	0.3791	7.05e-1	9.65e-1	0.1121	0.0000	low	not_significant
d__denovo11322	groupcontrol	1.988230	0.980177	2.0284	4.25e-2	1.81e-1	0.1034	0.0000	low	suggestive
d__denovo7354	groupcontrol	-2.085129	0.860741	-2.4225	1.54e-2	7.93e-2	0.1207	0.0000	low	low
d__denovo13874	groupcontrol	-1.536541	0.758410	-2.0260	4.28e-2	1.81e-1	0.1552	0.0000	low	suggestive
d__denovo12515	groupcontrol	0.109590	0.660344	0.1660	8.68e-1	1.00e0	0.1379	0.0000	low	not_significant
d__denovo12518	groupcontrol	0.127646	1.136110	0.1124	9.11e-1	1.00e0	0.1379	0.0000	low	not_significant
d__denovo24396	groupcontrol	11.619194	0.745357	15.5888	0.00e0	0.00e0	0.1034	0.0000	low	very_high
d__denovo23163	groupcontrol	-0.387673	1.044467	-0.3712	7.11e-1	9.67e-1	0.1034	0.0000	low	not_significant
d__denovo15988	groupcontrol	-0.074586	0.500000	-0.1492	8.81e-1	1.00e0	0.1552	0.0000	low	not_significant
d__denovo15984	groupcontrol	0.330518	0.689740	0.4792	6.32e-1	9.26e-1	0.1379	0.0000	low	not_significant
d__denovo1772	groupcontrol	0.773344	1.030827	0.7502	4.53e-1	8.02e-1	0.2672	0.0000	medium	not_significant
d__denovo1770	groupcontrol	0.955839	0.658959	1.4505	1.47e-1	4.37e-1	0.2500	0.0000	medium	not_significant
d__denovo1771	groupcontrol	-0.157061	0.472365	-0.3325	7.40e-1	9.82e-1	0.4741	0.0000	medium	not_significant
d__denovo1776	groupcontrol	1.239686	0.698581	1.7746	7.60e-2	2.77e-1	0.2586	0.0000	medium	not_significant
d__denovo1777	groupcontrol	0.410454	0.837961	0.4898	6.24e-1	9.21e-1	0.2672	0.0000	medium	not_significant
d__denovo1774	groupcontrol	0.110151	0.503765	0.2187	8.27e-1	1.00e0	0.4569	0.0000	medium	not_significant
d__denovo1775	groupcontrol	0.009715	0.412727	0.0235	9.81e-1	1.00e0	0.5776	0.0000	high	not_significant
d__denovo1778	groupcontrol	0.460799	0.464298	0.9925	3.21e-1	6.81e-1	0.5172	0.0000	high	not_significant
d__denovo725	groupcontrol	-0.774335	0.743865	-1.0410	2.98e-1	6.54e-1	0.4741	0.0001	medium	not_significant
d__denovo14220	groupcontrol	-0.040492	0.663939	-0.0610	9.51e-1	1.00e0	0.1207	0.0000	low	not_significant
d__denovo16988	groupcontrol	-2.350547	0.832172	-2.8246	4.73e-3	2.80e-2	0.1121	0.0000	low	moderate
