feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
d__denovo5395	groupcontrol	-0.121312	0.154127	-0.7871	4.33e-1	9.95e-1	0.1121	-0.1651	low	not_significant
d__denovo11322	groupcontrol	0.103834	0.106700	0.9731	3.33e-1	9.95e-1	0.1034	-0.2633	low	not_significant
d__denovo7354	groupcontrol	-0.042785	0.119893	-0.3569	7.22e-1	9.95e-1	0.1207	-0.2202	low	not_significant
d__denovo13874	groupcontrol	-0.103461	0.102616	-1.0082	3.15e-1	9.95e-1	0.1552	-0.2229	low	not_significant
d__denovo12515	groupcontrol	0.086597	0.112661	0.7687	4.44e-1	9.95e-1	0.1379	-0.2084	low	not_significant
d__denovo12518	groupcontrol	0.079459	0.107101	0.7419	4.60e-1	9.95e-1	0.1379	-0.2130	low	not_significant
d__denovo24396	groupcontrol	0.004039	0.086339	0.0468	9.63e-1	9.97e-1	0.1034	-0.2947	low	not_significant
d__denovo23163	groupcontrol	0.160917	0.082868	1.9418	5.46e-2	9.95e-1	0.1034	-0.2800	low	not_significant
d__denovo15988	groupcontrol	0.008677	0.098104	0.0884	9.30e-1	9.96e-1	0.1552	-0.2238	low	not_significant
d__denovo15984	groupcontrol	0.038814	0.087277	0.4447	6.57e-1	9.95e-1	0.1379	-0.2517	low	not_significant
d__denovo1772	groupcontrol	-0.019043	0.216284	-0.0880	9.30e-1	9.96e-1	0.2672	0.1386	medium	not_significant
d__denovo1770	groupcontrol	0.558695	0.242760	2.3014	2.32e-2	9.95e-1	0.2500	0.2442	medium	not_significant
d__denovo1771	groupcontrol	0.185999	0.235883	0.7885	4.32e-1	9.95e-1	0.4741	0.6458	medium	not_significant
d__denovo1776	groupcontrol	0.367424	0.237429	1.5475	1.25e-1	9.95e-1	0.2586	0.2277	medium	not_significant
d__denovo1777	groupcontrol	0.156881	0.231776	0.6769	5.00e-1	9.95e-1	0.2672	0.2015	medium	not_significant
d__denovo1774	groupcontrol	0.164049	0.249401	0.6578	5.12e-1	9.95e-1	0.4569	0.6097	medium	not_significant
d__denovo1775	groupcontrol	0.126707	0.230002	0.5509	5.83e-1	9.95e-1	0.5776	0.7968	high	not_significant
d__denovo1778	groupcontrol	0.570693	0.224039	2.5473	1.22e-2	9.95e-1	0.5172	0.6768	high	not_significant
d__denovo725	groupcontrol	0.438372	0.334377	1.3110	1.92e-1	9.95e-1	0.4741	1.0034	medium	not_significant
d__denovo14220	groupcontrol	0.086757	0.087588	0.9905	3.24e-1	9.95e-1	0.1207	-0.2619	low	not_significant
d__denovo16988	groupcontrol	-0.117422	0.087647	-1.3397	1.83e-1	9.95e-1	0.1121	-0.2742	low	not_significant
d__denovo16984	groupcontrol	0.115339	0.091215	1.2645	2.09e-1	9.95e-1	0.1552	-0.2290	low	not_significant
d__denovo16985	groupcontrol	0.005895	0.091586	0.0644	9.49e-1	9.97e-1	0.1034	-0.2806	low	not_significant
d__denovo16983	groupcontrol	0.069070	0.099677	0.6929	4.90e-1	9.95e-1	0.1034	-0.2590	low	not_significant
d__denovo16980	groupcontrol	-0.025690	0.094888	-0.2707	7.87e-1	9.95e-1	0.1121	-0.2705	low	not_significant
