feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
d__denovo149	groupcontrol	0.061598	0.102168	0.6029	5.48e-1	8.90e-1	0.1078	-0.2828	low	not_significant
d__denovo143	groupcontrol	0.036147	0.102197	0.3537	7.24e-1	9.22e-1	0.1471	-0.2601	low	not_significant
d__denovo141	groupcontrol	-0.052086	0.102785	-0.5068	6.13e-1	9.20e-1	0.1078	-0.2814	low	not_significant
d__denovo144	groupcontrol	0.109633	0.099484	1.1020	2.73e-1	8.31e-1	0.1569	-0.2380	low	not_significant
d__denovo91	groupcontrol	0.107137	0.119906	0.8935	3.74e-1	8.31e-1	0.1569	-0.1910	low	not_significant
d__denovo98	groupcontrol	-0.114458	0.124415	-0.9200	3.60e-1	8.31e-1	0.1176	-0.2406	low	not_significant
d__denovo99	groupcontrol	-0.047290	0.117063	-0.4040	6.87e-1	9.22e-1	0.2451	-0.1220	low	not_significant
d__denovo70	groupcontrol	-0.133226	0.143563	-0.9280	3.56e-1	8.31e-1	0.1471	-0.2031	low	not_significant
d__denovo71	groupcontrol	-0.013508	0.134416	-0.1005	9.20e-1	9.56e-1	0.2745	-0.0536	medium	not_significant
d__denovo72	groupcontrol	0.257082	0.129330	1.9878	4.96e-2	7.62e-1	0.2647	-0.0597	medium	not_significant
d__denovo73	groupcontrol	0.132556	0.132433	1.0009	3.19e-1	8.31e-1	0.2255	-0.0997	low	not_significant
d__denovo74	groupcontrol	0.025286	0.140371	0.1801	8.57e-1	9.42e-1	0.2059	-0.1299	low	not_significant
d__denovo75	groupcontrol	0.143168	0.134677	1.0630	2.90e-1	8.31e-1	0.2157	-0.1312	low	not_significant
d__denovo76	groupcontrol	-0.334528	0.128621	-2.6009	1.07e-2	6.59e-1	0.3039	-0.0377	medium	not_significant
d__denovo77	groupcontrol	0.141713	0.142588	0.9939	3.23e-1	8.31e-1	0.1471	-0.1758	low	not_significant
d__denovo97	groupcontrol	-0.184410	0.112053	-1.6457	1.03e-1	8.31e-1	0.2549	-0.1145	medium	not_significant
d__denovo244	groupcontrol	0.035602	0.077562	0.4590	6.47e-1	9.20e-1	0.1078	-0.3210	low	not_significant
d__denovo185	groupcontrol	-0.076366	0.080677	-0.9466	3.46e-1	8.31e-1	0.1471	-0.2796	low	not_significant
d__denovo183	groupcontrol	-0.134154	0.082886	-1.6185	1.09e-1	8.31e-1	0.1373	-0.2837	low	not_significant
d__denovo180	groupcontrol	-0.038862	0.086782	-0.4478	6.55e-1	9.20e-1	0.1176	-0.2919	low	not_significant
d__denovo110	groupcontrol	-0.043514	0.115710	-0.3761	7.08e-1	9.22e-1	0.1863	-0.1972	low	not_significant
d__denovo111	groupcontrol	0.059645	0.115458	0.5166	6.07e-1	9.20e-1	0.1961	-0.1716	low	not_significant
d__denovo116	groupcontrol	-0.135100	0.120160	-1.1243	2.64e-1	8.31e-1	0.1569	-0.2117	low	not_significant
d__denovo82	groupcontrol	0.147779	0.128940	1.1461	2.54e-1	8.31e-1	0.1765	-0.1650	low	not_significant
d__denovo34	groupcontrol	-0.016213	0.191962	-0.0845	9.33e-1	9.56e-1	0.1275	-0.1108	low	not_significant
d__denovo35	groupcontrol	0.059835	0.176575	0.3389	7.35e-1	9.22e-1	0.1275	-0.1657	low	not_significant
d__denovo36	groupcontrol	0.147878	0.186103	0.7946	4.29e-1	8.31e-1	0.4118	0.2152	medium	not_significant
d__denovo30	groupcontrol	0.200861	0.174844	1.1488	2.53e-1	8.31e-1	0.5098	0.4105	high	not_significant
d__denovo31	groupcontrol	0.256403	0.184512	1.3896	1.68e-1	8.31e-1	0.1961	-0.0367	low	not_significant
d__denovo32	groupcontrol	0.112059	0.173113	0.6473	5.19e-1	8.86e-1	0.4804	0.3381	medium	not_significant
d__denovo120	groupcontrol	0.049010	0.106885	0.4585	6.48e-1	9.20e-1	0.2647	-0.1353	medium	not_significant
d__denovo38	groupcontrol	-0.222132	0.170483	-1.3030	1.96e-1	8.31e-1	0.4118	0.2390	medium	not_significant
d__denovo89	groupcontrol	-0.209104	0.129195	-1.6185	1.09e-1	8.31e-1	0.2255	-0.1413	low	not_significant
d__denovo8	groupcontrol	-0.238228	0.267560	-0.8904	3.75e-1	8.31e-1	0.4902	0.5924	medium	not_significant
d__denovo202	groupcontrol	-0.157430	0.077979	-2.0189	4.62e-2	7.62e-1	0.1176	-0.3019	low	not_significant
d__denovo209	groupcontrol	0.008063	0.081710	0.0987	9.22e-1	9.56e-1	0.1275	-0.2994	low	not_significant
d__denovo118	groupcontrol	-0.099564	0.117094	-0.8503	3.97e-1	8.31e-1	0.1373	-0.2278	low	not_significant
d__denovo158	groupcontrol	0.135821	0.103159	1.3166	1.91e-1	8.31e-1	0.1275	-0.2771	low	not_significant
d__denovo155	groupcontrol	0.022122	0.099590	0.2221	8.25e-1	9.22e-1	0.1275	-0.2695	low	not_significant
d__denovo157	groupcontrol	0.134125	0.091849	1.4603	1.47e-1	8.31e-1	0.1471	-0.2596	low	not_significant
d__denovo150	groupcontrol	0.071453	0.105686	0.6761	5.01e-1	8.67e-1	0.1078	-0.2842	low	not_significant
d__denovo153	groupcontrol	-0.221334	0.091445	-2.4204	1.73e-2	6.76e-1	0.1078	-0.2836	low	not_significant
d__denovo84	groupcontrol	0.133919	0.130897	1.0231	3.09e-1	8.31e-1	0.1863	-0.1635	low	not_significant
d__denovo128	groupcontrol	-0.048107	0.110970	-0.4335	6.66e-1	9.20e-1	0.1078	-0.2731	low	not_significant
d__denovo87	groupcontrol	0.068505	0.119577	0.5729	5.68e-1	8.90e-1	0.2745	-0.0891	medium	not_significant
d__denovo81	groupcontrol	-0.267158	0.129470	-2.0635	4.17e-2	7.62e-1	0.1176	-0.2373	low	not_significant
d__denovo127	groupcontrol	-0.106720	0.111793	-0.9546	3.42e-1	8.31e-1	0.1176	-0.2613	low	not_significant
d__denovo33	groupcontrol	0.043729	0.182196	0.2400	8.11e-1	9.22e-1	0.3725	0.1936	medium	not_significant
d__denovo69	groupcontrol	0.168041	0.133615	1.2577	2.11e-1	8.31e-1	0.1667	-0.1672	low	not_significant
d__denovo68	groupcontrol	-0.112076	0.148833	-0.7530	4.53e-1	8.32e-1	0.2353	-0.0928	low	not_significant
d__denovo86	groupcontrol	-0.053761	0.123567	-0.4351	6.64e-1	9.20e-1	0.2255	-0.1145	low	not_significant
d__denovo63	groupcontrol	0.190272	0.131610	1.4457	1.51e-1	8.31e-1	0.3333	0.0101	medium	not_significant
