feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea_incertae_sedis;s__;d__denovo725	groupcontrol	0.000000	NaN	NaN	NaN	1.00e0	0.1049	0.0001	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo3850	groupcontrol	0.000000	NaN	NaN	NaN	1.00e0	0.1420	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__;d__denovo3855	groupcontrol	-0.033706	0.810178	-0.0416	9.67e-1	1.00e0	0.1111	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo3858	groupcontrol	0.097391	0.737210	0.1321	8.95e-1	1.00e0	0.1543	0.0000	low	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__;d__denovo8161	groupcontrol	NaN	0.750000	NaN	NaN	1.00e0	0.1111	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__;d__denovo3073	groupcontrol	-0.928429	1.340396	-0.6927	4.89e-1	1.00e0	0.1235	0.0001	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__;d__denovo3071	groupcontrol	-0.114468	0.566947	-0.2019	8.40e-1	1.00e0	0.1111	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__;d__denovo3074	groupcontrol	-0.260940	1.030777	-0.2531	8.00e-1	1.00e0	0.1049	0.0000	low	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__;d__denovo3078	groupcontrol	0.121883	2.581460	0.0472	9.62e-1	1.00e0	0.1667	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium;s__;d__denovo3895	groupcontrol	0.000000	NaN	NaN	NaN	1.00e0	0.1235	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__;d__denovo5147	groupcontrol	0.210537	0.752773	0.2797	7.80e-1	1.00e0	0.1049	0.0000	low	not_significant
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella;s__;d__denovo2268	groupcontrol	-0.407367	0.668469	-0.6094	5.42e-1	1.00e0	0.1173	0.0001	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea_incertae_sedis;s__;d__denovo2261	groupcontrol	-1.016808	0.612933	-1.6589	9.71e-2	5.53e-1	0.1296	0.0000	low	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__;d__denovo2260	groupcontrol	2.203069	0.715031	3.0811	2.06e-3	1.99e-2	0.1667	0.0000	low	moderate
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__;d__denovo2263	groupcontrol	0.416843	0.714746	0.5832	5.60e-1	1.00e0	0.1728	0.0000	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo2265	groupcontrol	0.000000	NaN	NaN	NaN	1.00e0	0.1358	0.0000	low	not_significant
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella;s__;d__denovo2264	groupcontrol	399.983541	57735.026994	0.0069	9.94e-1	1.00e0	0.1420	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__;d__denovo2266	groupcontrol	0.234136	0.613851	0.3814	7.03e-1	1.00e0	0.1605	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo3458	groupcontrol	0.323827	1.022476	0.3167	7.51e-1	1.00e0	0.1420	0.0000	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__;d__denovo1075	groupcontrol	-0.181165	0.573103	-0.3161	7.52e-1	1.00e0	0.2654	0.0000	medium	not_significant
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella;s__;d__denovo1862	groupcontrol	3.190423	0.899112	3.5484	3.88e-4	4.14e-3	0.1728	0.0001	low	high
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella;s__;d__denovo1860	groupcontrol	557.048018	44721.359711	0.0125	9.90e-1	1.00e0	0.1420	0.0001	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo1866	groupcontrol	-0.989994	0.644390	-1.5363	1.24e-1	6.48e-1	0.1605	0.0000	low	not_significant
