feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea_incertae_sedis;s__;d__denovo725	groupcontrol	-0.246799	0.209169	-1.1799	2.40e-1	1.00e0	0.1049	-0.0700	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo3850	groupcontrol	-0.172799	0.121625	-1.4208	1.57e-1	1.00e0	0.1420	-0.1367	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__;d__denovo3855	groupcontrol	0.222946	0.120983	1.8428	6.72e-2	1.00e0	0.1111	-0.1657	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo3858	groupcontrol	0.013864	0.115194	0.1204	9.04e-1	1.00e0	0.1543	-0.1356	low	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__;d__denovo8161	groupcontrol	0.052632	0.109643	0.4800	6.32e-1	1.00e0	0.1111	-0.2025	low	not_significant
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__;d__denovo3073	groupcontrol	0.024321	0.164798	0.1476	8.83e-1	1.00e0	0.1235	-0.1451	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__;d__denovo3071	groupcontrol	0.269438	0.113930	2.3649	1.92e-2	1.00e0	0.1111	-0.1648	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__;d__denovo3074	groupcontrol	-0.000405	0.109027	-0.0037	9.97e-1	1.00e0	0.1049	-0.1914	low	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__;d__denovo3078	groupcontrol	-0.071047	0.139339	-0.5099	6.11e-1	1.00e0	0.1667	-0.1068	low	not_significant
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium;s__;d__denovo3895	groupcontrol	-0.147000	0.118199	-1.2437	2.15e-1	1.00e0	0.1235	-0.1599	low	not_significant
