feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor;s__;d__denovo444	groupcontrol	-0.103563	1.062657	-0.0975	9.22e-1	1.00e0	0.1045	0.0002	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__;d__denovo440	groupcontrol	0.000000	NaN	NaN	NaN	1.00e0	0.1091	0.0002	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo389	groupcontrol	0.611043	1.089052	0.5611	5.75e-1	1.00e0	0.1091	0.0002	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo128	groupcontrol	-0.146599	0.568439	-0.2579	7.96e-1	1.00e0	0.2727	0.0015	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo124	groupcontrol	-1.257767	0.629712	-1.9974	4.58e-2	2.62e-1	0.1500	0.0013	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium_IV;s__;d__denovo460	groupcontrol	1.147691	3.494593	0.3284	7.43e-1	1.00e0	0.1182	0.0001	low	not_significant
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__;s__;d__denovo462	groupcontrol	0.432812	0.740014	0.5849	5.59e-1	1.00e0	0.1045	0.0002	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter;s__;d__denovo109	groupcontrol	-0.166224	0.702169	-0.2367	8.13e-1	1.00e0	0.2682	0.0025	medium	not_significant
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__;d__denovo107	groupcontrol	1.033261	1.655648	0.6241	5.33e-1	1.00e0	0.4227	0.0027	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__;d__denovo106	groupcontrol	-0.126234	0.606950	-0.2080	8.35e-1	1.00e0	0.3409	0.0024	medium	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__;d__denovo105	groupcontrol	-2.523795	0.570498	-4.4238	9.70e-6	9.16e-4	0.2773	0.0031	medium	very_high
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto;s__;d__denovo104	groupcontrol	1.773785	1.132174	1.5667	1.17e-1	4.52e-1	0.2091	0.0029	low	not_significant
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_incertae_sedis;s__;d__denovo103	groupcontrol	0.726922	0.804394	0.9037	3.66e-1	9.23e-1	0.2136	0.0016	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVa;s__;d__denovo102	groupcontrol	1.214126	0.965448	1.2576	2.09e-1	6.91e-1	0.2591	0.0021	medium	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter;s__;d__denovo101	groupcontrol	-0.025570	1.209892	-0.0211	9.83e-1	1.00e0	0.2455	0.0012	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium_III;s__;d__denovo92	groupcontrol	-0.797195	0.479486	-1.6626	9.64e-2	3.88e-1	0.3500	0.0025	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVa;s__;d__denovo91	groupcontrol	-1.013360	0.597966	-1.6947	9.01e-2	3.81e-1	0.2045	0.0013	low	not_significant
