feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor;s__;d__denovo444	groupcontrol	0.098282	0.104752	0.9382	3.49e-1	9.74e-1	0.1045	-0.5273	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__;d__denovo440	groupcontrol	-0.120543	0.093071	-1.2952	1.97e-1	9.74e-1	0.1091	-0.5171	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo389	groupcontrol	0.117413	0.099714	1.1775	2.40e-1	9.74e-1	0.1091	-0.5128	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo128	groupcontrol	-0.125696	0.184985	-0.6795	4.98e-1	9.78e-1	0.2727	-0.1316	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo124	groupcontrol	0.047955	0.186595	0.2570	7.97e-1	9.82e-1	0.1500	-0.3161	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium_IV;s__;d__denovo460	groupcontrol	-0.051649	0.098936	-0.5220	6.02e-1	9.82e-1	0.1182	-0.5179	low	not_significant
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__;s__;d__denovo462	groupcontrol	0.032676	0.093031	0.3512	7.26e-1	9.82e-1	0.1045	-0.5294	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter;s__;d__denovo109	groupcontrol	-0.049866	0.208806	-0.2388	8.11e-1	9.82e-1	0.2682	-0.0879	medium	not_significant
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__;d__denovo107	groupcontrol	0.525728	0.211306	2.4880	1.36e-2	8.10e-1	0.4227	0.0762	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__;d__denovo106	groupcontrol	-0.073916	0.210541	-0.3511	7.26e-1	9.82e-1	0.3409	0.0456	medium	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__;d__denovo105	groupcontrol	-0.253882	0.216030	-1.1752	2.41e-1	9.74e-1	0.2773	-0.1056	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto;s__;d__denovo104	groupcontrol	0.222396	0.192052	1.1580	2.48e-1	9.74e-1	0.2091	-0.2608	low	not_significant
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_incertae_sedis;s__;d__denovo103	groupcontrol	0.293747	0.183067	1.6046	1.10e-1	9.74e-1	0.2136	-0.2603	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVa;s__;d__denovo102	groupcontrol	0.139358	0.225604	0.6177	5.37e-1	9.82e-1	0.2591	-0.1189	medium	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter;s__;d__denovo101	groupcontrol	0.140338	0.183422	0.7651	4.45e-1	9.74e-1	0.2455	-0.1877	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium_III;s__;d__denovo92	groupcontrol	-0.248325	0.220423	-1.1266	2.61e-1	9.74e-1	0.3500	0.1248	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVa;s__;d__denovo91	groupcontrol	0.128584	0.204436	0.6290	5.30e-1	9.82e-1	0.2045	-0.2235	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea_incertae_sedis;s__;d__denovo96	groupcontrol	-0.261376	0.235599	-1.1094	2.68e-1	9.74e-1	0.2727	0.0447	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium_XI;s__;d__denovo97	groupcontrol	0.252837	0.223975	1.1289	2.60e-1	9.74e-1	0.3545	0.0616	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea_incertae_sedis;s__;d__denovo94	groupcontrol	-0.377207	0.226253	-1.6672	9.69e-2	9.74e-1	0.3500	0.1246	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea_incertae_sedis;s__;d__denovo95	groupcontrol	-0.408472	0.233635	-1.7483	8.18e-2	9.74e-1	0.3136	0.1178	medium	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__;d__denovo99	groupcontrol	0.381670	0.208115	1.8339	6.80e-2	9.74e-1	0.2000	-0.1743	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo4	groupcontrol	0.104895	0.454550	0.2308	8.18e-1	9.82e-1	0.4545	1.0976	medium	not_significant
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__;d__denovo342	groupcontrol	-0.000483	0.114830	-0.0042	9.97e-1	9.98e-1	0.1045	-0.5096	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo345	groupcontrol	-0.139394	0.109463	-1.2734	2.04e-1	9.74e-1	0.1000	-0.5005	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo347	groupcontrol	-0.020164	0.109593	-0.1840	8.54e-1	9.82e-1	0.1545	-0.4424	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo348	groupcontrol	0.278337	0.115873	2.4021	1.71e-2	8.10e-1	0.1000	-0.4890	low	not_significant
k__Bacteria;p__Firmicutes;c__;o__;f__;g__;s__;d__denovo165	groupcontrol	0.097000	0.153075	0.6337	5.27e-1	9.82e-1	0.1955	-0.2995	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__;d__denovo164	groupcontrol	-0.036316	0.160901	-0.2257	8.22e-1	9.82e-1	0.2045	-0.2934	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium_IV;s__;d__denovo167	groupcontrol	0.018542	0.157176	0.1180	9.06e-1	9.82e-1	0.1091	-0.4338	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVb;s__;d__denovo166	groupcontrol	-0.062293	0.133083	-0.4681	6.40e-1	9.82e-1	0.1409	-0.4272	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Sporobacter;s__;d__denovo163	groupcontrol	0.041462	0.164788	0.2516	8.02e-1	9.82e-1	0.1000	-0.4272	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes;s__;d__denovo168	groupcontrol	0.192534	0.181696	1.0596	2.90e-1	9.74e-1	0.1727	-0.3366	low	not_significant
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__;d__denovo366	groupcontrol	0.072611	0.110856	0.6550	5.13e-1	9.82e-1	0.1045	-0.5121	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo363	groupcontrol	0.055948	0.105675	0.5294	5.97e-1	9.82e-1	0.1000	-0.5091	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo369	groupcontrol	0.051929	0.109611	0.4738	6.36e-1	9.82e-1	0.1364	-0.4742	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium_XI;s__;d__denovo149	groupcontrol	-0.001425	0.186850	-0.0076	9.94e-1	9.98e-1	0.3136	-0.1191	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo142	groupcontrol	-0.116205	0.159600	-0.7281	4.67e-1	9.78e-1	0.2455	-0.2389	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__;d__denovo140	groupcontrol	0.031103	0.174363	0.1784	8.59e-1	9.82e-1	0.2682	-0.1689	medium	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVa;s__;d__denovo146	groupcontrol	-0.161433	0.165879	-0.9732	3.32e-1	9.74e-1	0.2136	-0.2681	low	not_significant
