feature_id	S000	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039
Feature_0000	779	369	0	0	0	0	0	804	0	0	0	0	0	0	0	0	0	0	0	0	2937	0	0	0	0	0	0	0	0	0	0	0	0	0	1330	0	0	0	0	0
Feature_0001	0	0	0	0	0	0	0	5607	0	0	0	0	0	0	0	1204	1307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1603	0	0	0	0	0	2229
Feature_0002	0	0	0	0	1198	2108	2134	0	0	0	0	0	1563	268	0	0	0	0	0	0	0	0	0	0	0	3011	0	0	0	0	0	0	0	0	0	0	0	0	3325	0
Feature_0003	0	0	0	0	0	24	0	0	84	0	0	122	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1247	0	0	0	0	0	0
Feature_0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0005	0	25	0	0	0	86	0	0	0	0	0	0	52	173	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	75	0	0	80	0	0	0	0	0	0
Feature_0006	0	0	0	0	33	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0	0	0
Feature_0007	0	0	0	0	0	0	0	63	0	675	0	0	0	0	0	0	0	0	0	0	357	0	163	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	64
Feature_0008	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	34	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0
Feature_0009	0	0	0	0	0	0	0	0	0	0	49	0	0	0	16	0	0	0	0	0	0	0	0	0	38	210	0	0	33	0	0	0	0	73	0	0	0	165	0	0
Feature_0010	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0011	0	0	0	0	29	0	0	0	0	48	0	0	18	0	6	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	51	109	0	0
Feature_0012	0	0	214	0	26	174	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	50	0
Feature_0013	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	130	10	110	0	0	0	0	0	0
Feature_0014	0	0	0	11	42	0	0	81	0	31	0	0	0	56	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	171	142	0	0
Feature_0015	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0016	0	0	0	0	0	0	138	0	0	0	0	0	9	0	7	0	0	0	102	0	0	0	22	0	0	41	0	0	0	0	50	0	0	0	0	271	0	0	0	0
Feature_0017	0	0	0	0	0	42	0	0	9	356	0	0	15	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	9	0	100	0	163	0
Feature_0018	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0019	0	0	0	0	0	0	0	0	47	0	0	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	104	0	0	0	0	10	0	0	133	0	0
Feature_0020	0	0	0	18	31	3	100	0	0	0	0	0	0	0	0	0	4	0	112	0	96	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	113
Feature_0021	0	5	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	36	14	157	0	0	0	111	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0022	0	0	0	0	28	37	0	5	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	414	0	59	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0023	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	30	27	0	0	0	114	0	0	0	0	6	70	0	0	0	0
Feature_0024	19	9	0	10	32	0	0	0	0	0	0	0	20	48	0	0	0	0	0	0	0	0	0	31	0	0	0	19	22	0	57	0	15	0	0	0	0	0	0	0
Feature_0025	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	42	0	0	35	0	0	0	0	0	0	0	75	74	0	0	9	0	0	0	0	0	43	0	0	84
Feature_0026	0	0	0	0	5	0	0	0	19	0	22	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	27	0	0	7	0	0	0	0	0	0	0	0	0
Feature_0027	0	7	0	0	0	0	0	0	0	0	0	0	17	0	0	59	0	0	0	0	34	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	198	0	0
Feature_0028	0	0	0	4	0	50	0	0	0	0	0	7	0	0	0	0	0	0	0	5	0	0	0	0	0	0	74	0	0	124	0	0	0	0	0	0	0	99	0	0
Feature_0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0
Feature_0030	0	2	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	48	0	0	0	0	95	35	19	0	0	0	0	0	0
Feature_0031	0	0	0	9	0	25	0	0	18	0	0	0	0	0	0	0	0	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0
Feature_0032	0	0	65	0	0	0	0	0	0	0	80	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	46	0	0	0
Feature_0033	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	110	0	0	0	0
Feature_0034	11	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	5	0	0	11	0	0	0	0	39	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0
