feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
Feature_0000	grouptreatment	0.538301	24.324531	0.0221	9.82e-1	1.00e0	0.4000	0.1442	medium	not_significant
Feature_0001	grouptreatment	0.030671	21.614049	0.0014	9.99e-1	1.00e0	0.3750	0.1041	medium	not_significant
Feature_0002	grouptreatment	0.200185	16.870024	0.0119	9.91e-1	1.00e0	0.3500	0.0774	medium	not_significant
Feature_0003	grouptreatment	0.923246	11.144153	0.0828	9.34e-1	1.00e0	0.3500	0.0317	medium	not_significant
Feature_0004	grouptreatment	0.811823	11.666984	0.0696	9.45e-1	1.00e0	0.4000	0.0395	medium	not_significant
Feature_0005	grouptreatment	0.784984	8.365086	0.0938	9.25e-1	1.00e0	0.4000	0.0360	medium	not_significant
Feature_0006	grouptreatment	0.388670	6.908574	0.0563	9.55e-1	1.00e0	0.3250	0.0176	medium	not_significant
Feature_0007	grouptreatment	1.036731	8.264006	0.1255	9.00e-1	1.00e0	0.3750	0.0278	medium	not_significant
Feature_0008	grouptreatment	0.527651	10.668262	0.0495	9.61e-1	1.00e0	0.6500	0.0411	high	not_significant
Feature_0009	grouptreatment	-0.134862	6.069045	-0.0222	9.82e-1	1.00e0	0.5250	0.0228	high	not_significant
Feature_0010	grouptreatment	0.098068	6.340410	0.0155	9.88e-1	1.00e0	0.4000	0.0173	medium	not_significant
Feature_0011	grouptreatment	0.942323	4.545330	0.2073	8.36e-1	1.00e0	0.3750	0.0132	medium	not_significant
Feature_0012	grouptreatment	0.195758	5.061480	0.0387	9.69e-1	1.00e0	0.4000	0.0109	medium	not_significant
Feature_0013	grouptreatment	0.375783	5.754025	0.0653	9.48e-1	1.00e0	0.4250	0.0150	medium	not_significant
Feature_0014	grouptreatment	0.106610	4.538135	0.0235	9.81e-1	1.00e0	0.3750	0.0107	medium	not_significant
Feature_0015	grouptreatment	-0.162103	4.131695	-0.0392	9.69e-1	1.00e0	0.3250	0.0069	medium	not_significant
Feature_0016	grouptreatment	0.838645	5.161589	0.1625	8.71e-1	1.00e0	0.5250	0.0205	high	not_significant
Feature_0017	grouptreatment	0.462816	4.054580	0.1141	9.09e-1	1.00e0	0.3000	0.0083	medium	not_significant
Feature_0018	grouptreatment	-0.165301	5.576279	-0.0296	9.76e-1	1.00e0	0.4750	0.0107	medium	not_significant
Feature_0019	grouptreatment	0.665207	7.014142	0.0948	9.24e-1	1.00e0	0.3250	0.0079	medium	not_significant
Feature_0020	grouptreatment	0.888042	5.352477	0.1659	8.68e-1	1.00e0	0.3500	0.0089	medium	not_significant
Feature_0021	grouptreatment	0.771399	4.400321	0.1753	8.61e-1	1.00e0	0.4250	0.0084	medium	not_significant
Feature_0022	grouptreatment	-0.477147	3.954434	-0.1207	9.04e-1	1.00e0	0.4750	0.0098	medium	not_significant
Feature_0023	grouptreatment	0.342864	4.291469	0.0799	9.36e-1	1.00e0	0.3000	0.0061	medium	not_significant
Feature_0024	grouptreatment	1.041294	4.132176	0.2520	8.01e-1	1.00e0	0.3750	0.0080	medium	not_significant
Feature_0025	grouptreatment	-0.262971	4.062787	-0.0647	9.48e-1	1.00e0	0.6000	0.0118	high	not_significant
Feature_0026	grouptreatment	0.809951	3.294278	0.2459	8.06e-1	1.00e0	0.5250	0.0096	high	not_significant
Feature_0027	grouptreatment	-1.252763	3.996573	-0.3135	7.54e-1	1.00e0	0.4000	0.0072	medium	not_significant
Feature_0028	grouptreatment	1.033996	3.712740	0.2785	7.81e-1	1.00e0	0.4500	0.0064	medium	not_significant
Feature_0029	grouptreatment	0.279626	2.935417	0.0953	9.24e-1	1.00e0	0.4000	0.0052	medium	not_significant
Feature_0030	grouptreatment	1.208467	4.567988	0.2646	7.91e-1	1.00e0	0.3250	0.0071	medium	not_significant
Feature_0031	grouptreatment	0.862832	3.549744	0.2431	8.08e-1	1.00e0	0.3500	0.0053	medium	not_significant
Feature_0032	grouptreatment	-1.279322	3.754957	-0.3407	7.33e-1	1.00e0	0.2250	0.0027	low	not_significant
Feature_0033	grouptreatment	0.611199	4.341318	0.1408	8.88e-1	1.00e0	0.4500	0.0091	medium	not_significant
Feature_0034	grouptreatment	-0.046251	4.398081	-0.0105	9.92e-1	1.00e0	0.4500	0.0076	medium	not_significant
Feature_0035	grouptreatment	-0.064435	3.191377	-0.0202	9.84e-1	1.00e0	0.2750	0.0041	medium	not_significant
Feature_0036	grouptreatment	0.757947	4.016154	0.1887	8.50e-1	1.00e0	0.4250	0.0052	medium	not_significant
Feature_0037	grouptreatment	-0.212138	3.798299	-0.0559	9.55e-1	1.00e0	0.3000	0.0037	medium	not_significant
Feature_0038	grouptreatment	-0.549108	2.940517	-0.1867	8.52e-1	1.00e0	0.4000	0.0047	medium	not_significant
Feature_0039	grouptreatment	0.024098	3.525491	0.0068	9.95e-1	1.00e0	0.5250	0.0090	high	not_significant
Feature_0040	grouptreatment	-0.147182	3.837067	-0.0384	9.69e-1	1.00e0	0.4500	0.0047	medium	not_significant
Feature_0041	grouptreatment	-1.627639	2.042014	-0.7971	4.25e-1	1.00e0	0.3750	0.0020	medium	not_significant
Feature_0042	grouptreatment	-0.241656	2.940019	-0.0822	9.34e-1	1.00e0	0.3750	0.0051	medium	not_significant
