feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
Feature_0000	grouptreatment	1.666946	1.375788	1.2116	2.78e-1	8.14e-1	0.4000	2.2219	medium	not_significant
Feature_0001	grouptreatment	0.995427	1.338313	0.7438	5.20e-1	8.81e-1	0.3750	1.9595	medium	not_significant
Feature_0002	grouptreatment	-0.058181	1.268588	-0.0459	9.24e-1	9.84e-1	0.3500	1.6006	medium	not_significant
Feature_0003	grouptreatment	1.190372	1.088079	1.0940	2.93e-1	8.21e-1	0.3500	1.1614	medium	not_significant
Feature_0004	grouptreatment	0.291498	1.144488	0.2547	7.71e-1	9.41e-1	0.4000	1.5791	medium	not_significant
Feature_0005	grouptreatment	0.766978	1.083840	0.7076	4.59e-1	8.64e-1	0.4000	1.4176	medium	not_significant
Feature_0006	grouptreatment	0.311709	1.024488	0.3043	7.52e-1	9.34e-1	0.3250	0.8707	medium	not_significant
Feature_0007	grouptreatment	1.711923	1.050242	1.6300	1.04e-1	6.44e-1	0.3750	1.2836	medium	not_significant
Feature_0008	grouptreatment	-0.557230	1.043289	-0.5341	6.20e-1	9.11e-1	0.6500	3.0513	high	not_significant
Feature_0009	grouptreatment	-0.654640	0.964861	-0.6785	4.83e-1	8.64e-1	0.5250	1.6862	high	not_significant
Feature_0010	grouptreatment	-0.069150	0.998158	-0.0693	9.35e-1	9.84e-1	0.4000	1.1815	medium	not_significant
Feature_0011	grouptreatment	0.054966	0.914767	0.0601	9.69e-1	9.84e-1	0.3750	0.8341	medium	not_significant
Feature_0012	grouptreatment	0.055749	0.934530	0.0597	9.49e-1	9.84e-1	0.4000	1.0171	medium	not_significant
Feature_0013	grouptreatment	1.304504	0.956509	1.3638	1.85e-1	7.22e-1	0.4250	1.2664	medium	not_significant
Feature_0014	grouptreatment	0.287235	0.912678	0.3147	7.71e-1	9.41e-1	0.3750	0.8652	medium	not_significant
Feature_0015	grouptreatment	-1.250038	0.817291	-1.5295	1.51e-1	7.09e-1	0.3250	0.4336	medium	not_significant
Feature_0016	grouptreatment	0.527633	1.006668	0.5241	5.45e-1	8.89e-1	0.5250	1.9912	high	not_significant
Feature_0017	grouptreatment	0.433783	0.874876	0.4958	6.90e-1	9.15e-1	0.3000	0.4676	medium	not_significant
Feature_0018	grouptreatment	-0.869629	0.903893	-0.9621	3.33e-1	8.48e-1	0.4750	1.3717	medium	not_significant
Feature_0019	grouptreatment	-0.048817	0.892987	-0.0547	9.45e-1	9.84e-1	0.3250	0.5516	medium	not_significant
Feature_0020	grouptreatment	1.142074	0.866794	1.3176	1.75e-1	7.11e-1	0.3500	0.7079	medium	not_significant
Feature_0021	grouptreatment	0.348874	0.856873	0.4071	6.69e-1	9.15e-1	0.4250	0.9181	medium	not_significant
Feature_0022	grouptreatment	-1.288614	0.876514	-1.4702	1.39e-1	7.09e-1	0.4750	1.1970	medium	not_significant
Feature_0023	grouptreatment	-0.063514	0.825815	-0.0769	9.14e-1	9.84e-1	0.3000	0.3277	medium	not_significant
Feature_0024	grouptreatment	0.906848	0.882210	1.0279	3.01e-1	8.32e-1	0.3750	0.8338	medium	not_significant
Feature_0025	grouptreatment	-1.025766	0.867287	-1.1827	2.67e-1	8.05e-1	0.6000	1.9410	high	not_significant
Feature_0026	grouptreatment	0.664516	0.865248	0.7680	4.53e-1	8.64e-1	0.5250	1.4896	high	not_significant
