feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
Feature_0000	grouptreatment	1.187522	0.964518	1.2312	2.18e-1	8.22e-1	0.1250	0.0855	low	not_significant
Feature_0001	grouptreatment	-0.345232	1.065683	-0.3240	7.46e-1	1.00e0	0.1250	0.0931	low	not_significant
Feature_0002	grouptreatment	0.778645	0.894652	0.8703	3.84e-1	9.57e-1	0.1750	0.1260	low	not_significant
Feature_0003	grouptreatment	2.353583	1.191262	1.9757	4.82e-2	4.34e-1	0.1250	0.0416	low	not_significant
Feature_0005	grouptreatment	0.331357	0.880218	0.3764	7.07e-1	1.00e0	0.1750	0.0120	low	not_significant
Feature_0006	grouptreatment	2.736624	1.231432	2.2223	2.63e-2	2.66e-1	0.0750	0.0046	rare	not_significant
Feature_0007	grouptreatment	-0.625058	1.070940	-0.5837	5.59e-1	1.00e0	0.1500	0.0286	low	not_significant
Feature_0008	grouptreatment	-0.216026	1.233790	-0.1751	8.61e-1	1.00e0	0.1000	0.0072	low	not_significant
Feature_0009	grouptreatment	1.161226	0.931489	1.2466	2.13e-1	8.22e-1	0.1750	0.0234	low	not_significant
Feature_0010	grouptreatment	1.595708	1.414868	1.1278	2.59e-1	8.61e-1	0.0750	0.0074	rare	not_significant
Feature_0011	grouptreatment	0.646728	0.850183	0.7607	4.47e-1	9.93e-1	0.2000	0.0107	low	not_significant
Feature_0012	grouptreatment	-1.335001	1.027871	-1.2988	1.94e-1	7.92e-1	0.1500	0.0114	low	not_significant
Feature_0013	grouptreatment	0.040822	1.185800	0.0344	9.73e-1	1.00e0	0.1500	0.0134	low	not_significant
Feature_0014	grouptreatment	1.017343	0.735493	1.3832	1.67e-1	7.92e-1	0.2250	0.0167	low	not_significant
Feature_0015	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.0500	0.0026	rare	not_significant
Feature_0016	grouptreatment	0.405465	0.985685	0.4114	6.81e-1	1.00e0	0.2000	0.0161	low	not_significant
Feature_0017	grouptreatment	-0.046743	1.087230	-0.0430	9.66e-1	1.00e0	0.2250	0.0153	low	not_significant
Feature_0018	grouptreatment	0.000000	1.414220	0.0000	1.00e0	1.00e0	0.0500	0.0099	rare	not_significant
Feature_0019	grouptreatment	1.415044	0.951860	1.4866	1.37e-1	7.44e-1	0.1500	0.0159	low	not_significant
Feature_0020	grouptreatment	0.832260	0.864422	0.9628	3.36e-1	9.53e-1	0.2250	0.0130	low	not_significant
Feature_0021	grouptreatment	1.912388	0.811213	2.3574	1.84e-2	2.29e-1	0.1750	0.0177	low	not_significant
Feature_0022	grouptreatment	2.156733	0.942666	2.2879	2.21e-2	2.49e-1	0.1500	0.0072	low	not_significant
Feature_0023	grouptreatment	3.440287	0.907915	3.7892	1.51e-4	6.12e-3	0.1750	0.0091	low	high
Feature_0024	grouptreatment	0.224881	0.682813	0.3293	7.42e-1	1.00e0	0.2750	0.0210	medium	not_significant
