feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
Feature_0000	grouptreatment	0.782057	11.905805	0.0657	9.48e-1	1.00e0	0.1250	0.0855	low	not_significant
Feature_0001	grouptreatment	-0.750697	16.776947	-0.0447	9.64e-1	1.00e0	0.1250	0.0931	low	not_significant
Feature_0002	grouptreatment	-0.137646	14.618750	-0.0094	9.92e-1	1.00e0	0.1750	0.1260	low	not_significant
Feature_0003	grouptreatment	0.967289	8.161231	0.1185	9.06e-1	1.00e0	0.1250	0.0416	low	not_significant
Feature_0005	grouptreatment	0.043675	3.379845	0.0129	9.90e-1	1.00e0	0.1750	0.0120	low	not_significant
Feature_0006	grouptreatment	2.043476	4.247287	0.4811	6.30e-1	1.00e0	0.0750	0.0046	rare	not_significant
Feature_0007	grouptreatment	0.068089	6.317710	0.0108	9.91e-1	1.00e0	0.1500	0.0286	low	not_significant
Feature_0008	grouptreatment	-1.314638	2.300805	-0.5714	5.68e-1	1.00e0	0.1000	0.0072	low	not_significant
Feature_0009	grouptreatment	2.077517	2.851309	0.7286	4.66e-1	1.00e0	0.1750	0.0234	low	not_significant
Feature_0010	grouptreatment	2.288855	3.147419	0.7272	4.67e-1	1.00e0	0.0750	0.0074	rare	not_significant
Feature_0011	grouptreatment	0.135902	2.307395	0.0589	9.53e-1	1.00e0	0.2000	0.0107	low	not_significant
Feature_0012	grouptreatment	-2.028148	3.196220	-0.6345	5.26e-1	1.00e0	0.1500	0.0114	low	not_significant
Feature_0013	grouptreatment	0.040822	4.001489	0.0102	9.92e-1	1.00e0	0.1500	0.0134	low	not_significant
Feature_0014	grouptreatment	0.794200	2.901083	0.2738	7.84e-1	1.00e0	0.2250	0.0167	low	not_significant
Feature_0015	grouptreatment	-25.693147	22360.679843	-0.0011	9.99e-1	1.00e0	0.0500	0.0026	rare	not_significant
Feature_0016	grouptreatment	0.405465	3.775383	0.1074	9.14e-1	1.00e0	0.2000	0.0161	low	not_significant
Feature_0017	grouptreatment	-0.269887	4.379145	-0.0616	9.51e-1	1.00e0	0.2250	0.0153	low	not_significant
Feature_0018	grouptreatment	0.000000	0.988546	0.0000	1.00e0	1.00e0	0.0500	0.0099	rare	not_significant
Feature_0019	grouptreatment	1.415044	2.624634	0.5391	5.90e-1	1.00e0	0.1500	0.0159	low	not_significant
Feature_0020	grouptreatment	0.139113	2.842080	0.0489	9.61e-1	1.00e0	0.2250	0.0130	low	not_significant
Feature_0021	grouptreatment	1.624705	2.521646	0.6443	5.19e-1	1.00e0	0.1750	0.0177	low	not_significant
Feature_0022	grouptreatment	2.156733	3.959394	0.5447	5.86e-1	1.00e0	0.1500	0.0072	low	not_significant
Feature_0023	grouptreatment	4.123094	1.893744	2.1772	2.95e-2	2.36e-1	0.1750	0.0091	low	not_significant
Feature_0024	grouptreatment	0.042560	1.609231	0.0264	9.79e-1	1.00e0	0.2750	0.0210	medium	not_significant
Feature_0025	grouptreatment	1.258040	2.092804	0.6011	5.48e-1	1.00e0	0.2000	0.0117	low	not_significant
Feature_0026	grouptreatment	-0.707746	1.358046	-0.5212	6.02e-1	1.00e0	0.1500	0.0050	low	not_significant
Feature_0027	grouptreatment	1.179581	3.012530	0.3916	6.95e-1	1.00e0	0.1500	0.0070	low	not_significant
Feature_0028	grouptreatment	1.504077	2.476606	0.6073	5.44e-1	1.00e0	0.1750	0.0161	low	not_significant
Feature_0029	grouptreatment	0.573346	2.008840	0.2854	7.75e-1	1.00e0	0.0500	0.0016	rare	not_significant
Feature_0030	grouptreatment	0.860561	2.709090	0.3177	7.51e-1	1.00e0	0.1750	0.0170	low	not_significant
Feature_0031	grouptreatment	-0.031253	1.907200	-0.0164	9.87e-1	1.00e0	0.1500	0.0059	low	not_significant
Feature_0032	grouptreatment	-0.852996	2.134087	-0.3997	6.89e-1	1.00e0	0.1250	0.0126	low	not_significant
Feature_0033	grouptreatment	2.001480	2.342700	0.8543	3.93e-1	1.00e0	0.1000	0.0053	low	not_significant
Feature_0034	grouptreatment	0.421726	1.758984	0.2398	8.11e-1	1.00e0	0.1500	0.0098	low	not_significant
Feature_0035	grouptreatment	0.447014	1.663536	0.2687	7.88e-1	1.00e0	0.1750	0.0062	low	not_significant
Feature_0036	grouptreatment	-1.707878	2.329135	-0.7333	4.63e-1	1.00e0	0.1250	0.0043	low	not_significant
Feature_0037	grouptreatment	-2.380428	2.394625	-0.9941	3.20e-1	9.60e-1	0.1000	0.0052	low	not_significant
Feature_0038	grouptreatment	-0.575364	1.160250	-0.4959	6.20e-1	1.00e0	0.1250	0.0051	low	not_significant
Feature_0039	grouptreatment	2.167811	2.835173	0.7646	4.45e-1	1.00e0	0.1000	0.0065	low	not_significant
Feature_0040	grouptreatment	0.825636	1.451752	0.5687	5.70e-1	1.00e0	0.2250	0.0120	low	not_significant
Feature_0041	grouptreatment	-3.283414	1.418773	-2.3143	2.07e-2	2.23e-1	0.1250	0.0053	low	not_significant
Feature_0042	grouptreatment	-0.876712	2.643867	-0.3316	7.40e-1	1.00e0	0.1250	0.0072	low	not_significant
Feature_0043	grouptreatment	-0.508225	1.636476	-0.3106	7.56e-1	1.00e0	0.2500	0.0060	medium	not_significant
Feature_0044	grouptreatment	-2.397895	0.983500	-2.4381	1.48e-2	1.94e-1	0.1000	0.0007	low	suggestive
Feature_0045	grouptreatment	1.386294	1.382110	1.0030	3.16e-1	9.60e-1	0.0750	0.0024	rare	not_significant
Feature_0046	grouptreatment	1.547271	3.162876	0.4892	6.25e-1	1.00e0	0.1500	0.0059	low	not_significant
Feature_0047	grouptreatment	0.644695	2.282336	0.2825	7.78e-1	1.00e0	0.1500	0.0046	low	not_significant
Feature_0048	grouptreatment	0.144934	2.477945	0.0585	9.53e-1	1.00e0	0.1250	0.0062	low	not_significant
Feature_0049	grouptreatment	2.065455	1.524397	1.3549	1.75e-1	7.68e-1	0.1000	0.0022	low	not_significant
Feature_0050	grouptreatment	4.510860	1.592462	2.8326	4.62e-3	1.08e-1	0.1250	0.0027	low	suggestive
Feature_0051	grouptreatment	1.629241	1.296848	1.2563	2.09e-1	7.92e-1	0.0750	0.0025	rare	not_significant
Feature_0052	grouptreatment	1.346448	2.208688	0.6096	5.42e-1	1.00e0	0.1250	0.0090	low	not_significant
Feature_0053	grouptreatment	1.145132	1.612582	0.7101	4.78e-1	1.00e0	0.1500	0.0048	low	not_significant
Feature_0054	grouptreatment	-25.693147	22360.679806	-0.0011	9.99e-1	1.00e0	0.1500	0.0043	low	not_significant
Feature_0055	grouptreatment	-2.222542	1.537647	-1.4454	1.48e-1	6.87e-1	0.1500	0.0036	low	not_significant
Feature_0056	grouptreatment	0.133531	1.626968	0.0821	9.35e-1	1.00e0	0.1000	0.0044	low	not_significant
Feature_0057	grouptreatment	0.693147	1.106232	0.6266	5.31e-1	1.00e0	0.1000	0.0024	low	not_significant
Feature_0058	grouptreatment	-0.283575	1.801433	-0.1574	8.75e-1	1.00e0	0.1000	0.0037	low	not_significant
Feature_0059	grouptreatment	-0.166127	1.663079	-0.0999	9.20e-1	1.00e0	0.2000	0.0064	low	not_significant
Feature_0060	grouptreatment	-0.916291	1.577274	-0.5809	5.61e-1	1.00e0	0.1750	0.0036	low	not_significant
Feature_0061	grouptreatment	2.367124	1.293413	1.8301	6.72e-2	3.89e-1	0.1000	0.0016	low	not_significant
Feature_0062	grouptreatment	0.999877	1.751634	0.5708	5.68e-1	1.00e0	0.1250	0.0029	low	not_significant
Feature_0063	grouptreatment	-2.639057	0.955996	-2.7605	5.77e-3	1.17e-1	0.2000	0.0022	low	suggestive
Feature_0064	grouptreatment	0.684179	1.814407	0.3771	7.06e-1	1.00e0	0.1750	0.0067	low	not_significant
Feature_0065	grouptreatment	-1.016934	1.431918	-0.7102	4.78e-1	1.00e0	0.1000	0.0016	low	not_significant
Feature_0066	grouptreatment	-3.232121	1.099182	-2.9405	3.28e-3	1.08e-1	0.1500	0.0036	low	suggestive
Feature_0067	grouptreatment	1.149906	1.197933	0.9599	3.37e-1	9.60e-1	0.1500	0.0018	low	not_significant
Feature_0068	grouptreatment	-1.616082	1.914720	-0.8440	3.99e-1	1.00e0	0.2000	0.0066	low	not_significant
Feature_0069	grouptreatment	1.049822	1.004277	1.0454	2.96e-1	9.60e-1	0.1250	0.0026	low	not_significant
Feature_0070	grouptreatment	0.720546	1.060784	0.6793	4.97e-1	1.00e0	0.1750	0.0030	low	not_significant
Feature_0071	grouptreatment	0.182322	1.131739	0.1611	8.72e-1	1.00e0	0.2250	0.0037	low	not_significant
Feature_0072	grouptreatment	1.349927	1.528342	0.8833	3.77e-1	1.00e0	0.1500	0.0049	low	not_significant
Feature_0073	grouptreatment	0.545227	1.555053	0.3506	7.26e-1	1.00e0	0.1500	0.0019	low	not_significant
Feature_0074	grouptreatment	0.441833	0.927340	0.4765	6.34e-1	1.00e0	0.1000	0.0010	low	not_significant
Feature_0075	grouptreatment	2.442347	1.239083	1.9711	4.87e-2	3.17e-1	0.0750	0.0013	rare	not_significant
Feature_0076	grouptreatment	0.739667	0.961741	0.7691	4.42e-1	1.00e0	0.1750	0.0015	low	not_significant
Feature_0077	grouptreatment	-3.637586	1.234323	-2.9470	3.21e-3	1.08e-1	0.1250	0.0011	low	suggestive
Feature_0078	grouptreatment	0.765468	1.126969	0.6792	4.97e-1	1.00e0	0.2250	0.0030	low	not_significant
Feature_0079	grouptreatment	0.313658	0.948603	0.3307	7.41e-1	1.00e0	0.1500	0.0015	low	not_significant
Feature_0080	grouptreatment	0.773190	1.329666	0.5815	5.61e-1	1.00e0	0.2000	0.0053	low	not_significant
Feature_0081	grouptreatment	0.713766	1.082514	0.6594	5.10e-1	1.00e0	0.1750	0.0032	low	not_significant
Feature_0082	grouptreatment	2.847812	1.216031	2.3419	1.92e-2	2.22e-1	0.1500	0.0038	low	not_significant
Feature_0083	grouptreatment	1.427116	0.775779	1.8396	6.58e-2	3.89e-1	0.1500	0.0010	low	not_significant
Feature_0084	grouptreatment	2.656757	1.349513	1.9687	4.90e-2	3.17e-1	0.1500	0.0021	low	not_significant
Feature_0085	grouptreatment	2.977383	2.375710	1.2533	2.10e-1	7.92e-1	0.1500	0.0070	low	not_significant
Feature_0086	grouptreatment	-0.200671	1.305582	-0.1537	8.78e-1	1.00e0	0.1500	0.0047	low	not_significant
Feature_0087	grouptreatment	1.134980	0.861178	1.3179	1.88e-1	7.83e-1	0.1500	0.0009	low	not_significant
Feature_0088	grouptreatment	-2.197225	0.897527	-2.4481	1.44e-2	1.94e-1	0.1250	0.0008	low	suggestive
Feature_0089	grouptreatment	23.109557	22360.678321	0.0010	9.99e-1	1.00e0	0.0750	0.0001	rare	not_significant
Feature_0090	grouptreatment	0.541597	1.224930	0.4421	6.58e-1	1.00e0	0.1750	0.0016	low	not_significant
Feature_0091	grouptreatment	0.693147	1.101605	0.6292	5.29e-1	1.00e0	0.2250	0.0016	low	not_significant
Feature_0092	grouptreatment	3.036554	1.790047	1.6964	8.98e-2	4.85e-1	0.1750	0.0101	low	not_significant
Feature_0093	grouptreatment	2.542065	2.801229	0.9075	3.64e-1	1.00e0	0.1000	0.0028	low	not_significant
Feature_0094	grouptreatment	2.674149	1.310468	2.0406	4.13e-2	3.04e-1	0.1000	0.0003	low	not_significant
Feature_0096	grouptreatment	1.455287	0.882030	1.6499	9.90e-2	5.17e-1	0.1250	0.0005	low	not_significant
Feature_0097	grouptreatment	2.014903	0.905999	2.2240	2.62e-2	2.36e-1	0.1000	0.0008	low	not_significant
