feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
Feature_0000	grouptreatment	-0.277962	0.823552	-0.3375	9.19e-1	9.67e-1	0.1250	0.5467	low	not_significant
Feature_0001	grouptreatment	-0.464445	0.890326	-0.5217	5.45e-1	9.33e-1	0.1250	0.6354	low	not_significant
Feature_0002	grouptreatment	-1.104982	0.965645	-1.1443	3.34e-1	9.10e-1	0.1750	1.0072	low	not_significant
Feature_0003	grouptreatment	-0.683849	0.620160	-1.1027	2.81e-1	9.10e-1	0.1250	0.3125	low	not_significant
Feature_0005	grouptreatment	-0.214980	0.621402	-0.3460	7.72e-1	9.42e-1	0.1750	0.4905	low	not_significant
Feature_0006	grouptreatment	-0.085877	0.420785	-0.2041	8.12e-1	9.48e-1	0.0750	-0.0493	rare	not_significant
Feature_0007	grouptreatment	0.520452	0.675935	0.7700	5.34e-1	9.33e-1	0.1500	0.4815	low	not_significant
Feature_0008	grouptreatment	-0.511277	0.449125	-1.1384	2.17e-1	8.37e-1	0.1000	0.0628	low	not_significant
Feature_0009	grouptreatment	0.825419	0.577248	1.4299	1.34e-1	7.40e-1	0.1750	0.4359	low	not_significant
Feature_0010	grouptreatment	0.242376	0.381684	0.6350	6.43e-1	9.33e-1	0.0750	-0.0699	rare	not_significant
Feature_0011	grouptreatment	-0.328587	0.542982	-0.6052	5.80e-1	9.33e-1	0.2000	0.4330	low	not_significant
Feature_0012	grouptreatment	-0.592736	0.513053	-1.1553	2.68e-1	9.10e-1	0.1500	0.2264	low	not_significant
Feature_0013	grouptreatment	0.188641	0.505166	0.3734	7.63e-1	9.42e-1	0.1500	0.1855	low	not_significant
Feature_0014	grouptreatment	-0.059516	0.645752	-0.0922	9.56e-1	9.86e-1	0.2250	0.6660	low	not_significant
Feature_0015	grouptreatment	-0.524628	0.341145	-1.5378	1.29e-1	7.40e-1	0.0500	-0.1583	rare	not_significant
Feature_0016	grouptreatment	0.087727	0.591615	0.1483	8.90e-1	9.55e-1	0.2000	0.4924	low	not_significant
Feature_0017	grouptreatment	-0.092154	0.607286	-0.1517	8.78e-1	9.55e-1	0.2250	0.5620	low	not_significant
Feature_0018	grouptreatment	-0.039184	0.230312	-0.1701	6.91e-1	9.33e-1	0.0500	-0.2538	rare	not_significant
Feature_0019	grouptreatment	0.194581	0.486315	0.4001	6.85e-1	9.33e-1	0.1500	0.1808	low	not_significant
Feature_0020	grouptreatment	-0.370967	0.601463	-0.6168	5.24e-1	9.33e-1	0.2250	0.5640	low	not_significant
Feature_0021	grouptreatment	0.105210	0.533885	0.1971	8.51e-1	9.48e-1	0.1750	0.3262	low	not_significant
Feature_0022	grouptreatment	0.276848	0.547537	0.5056	6.24e-1	9.33e-1	0.1500	0.2950	low	not_significant
Feature_0023	grouptreatment	0.853154	0.445858	1.9135	7.10e-2	7.05e-1	0.1750	0.2061	low	not_significant
Feature_0024	grouptreatment	-0.155330	0.569450	-0.2728	8.30e-1	9.48e-1	0.2750	0.6467	medium	not_significant
Feature_0025	grouptreatment	0.543762	0.548604	0.9912	3.23e-1	9.10e-1	0.2000	0.4356	low	not_significant
Feature_0026	grouptreatment	-0.389328	0.393172	-0.9902	3.16e-1	9.10e-1	0.1500	0.1099	low	not_significant
Feature_0027	grouptreatment	0.136782	0.503409	0.2717	7.64e-1	9.42e-1	0.1500	0.2391	low	not_significant
Feature_0028	grouptreatment	0.155636	0.525149	0.2964	7.58e-1	9.42e-1	0.1750	0.2923	low	not_significant
Feature_0029	grouptreatment	-0.010864	0.311127	-0.0349	9.13e-1	9.67e-1	0.0500	-0.1797	rare	not_significant
Feature_0030	grouptreatment	0.736782	0.532384	1.3839	2.04e-1	8.06e-1	0.1750	0.3351	low	not_significant
Feature_0031	grouptreatment	-0.570856	0.397945	-1.4345	1.94e-1	8.06e-1	0.1500	0.1071	low	not_significant
Feature_0032	grouptreatment	-0.313664	0.486472	-0.6448	4.05e-1	9.33e-1	0.1250	0.1668	low	not_significant
Feature_0033	grouptreatment	0.008591	0.337956	0.0254	9.86e-1	9.94e-1	0.1000	-0.1000	low	not_significant
Feature_0034	grouptreatment	-0.231294	0.432491	-0.5348	6.46e-1	9.33e-1	0.1500	0.1481	low	not_significant
Feature_0035	grouptreatment	0.136677	0.428772	0.3188	7.99e-1	9.48e-1	0.1750	0.1961	low	not_significant
Feature_0036	grouptreatment	-0.330459	0.409166	-0.8076	4.08e-1	9.33e-1	0.1250	0.0654	low	not_significant
Feature_0037	grouptreatment	-0.526240	0.421132	-1.2496	2.29e-1	8.43e-1	0.1000	0.0306	low	not_significant
Feature_0038	grouptreatment	-0.380281	0.311614	-1.2204	2.29e-1	8.43e-1	0.1250	-0.0499	low	not_significant
Feature_0039	grouptreatment	0.381241	0.404791	0.9418	4.67e-1	9.33e-1	0.1000	0.0017	low	not_significant
Feature_0040	grouptreatment	-0.012041	0.502577	-0.0240	9.88e-1	9.94e-1	0.2250	0.4066	low	not_significant
Feature_0041	grouptreatment	-0.475135	0.328167	-1.4478	1.85e-1	8.06e-1	0.1250	-0.0476	low	not_significant
Feature_0042	grouptreatment	-0.329870	0.445233	-0.7409	4.22e-1	9.33e-1	0.1250	0.0846	low	not_significant
