feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
Feature_0000	grouptreatment	1.187522	0.389921	3.0455	2.32e-3	1.39e-2	0.1250	0.0855	low	moderate
Feature_0001	grouptreatment	-0.345232	0.611751	-0.5643	5.73e-1	7.58e-1	0.1250	0.0931	low	not_significant
Feature_0002	grouptreatment	0.778645	0.253123	3.0762	2.10e-3	1.36e-2	0.1750	0.1260	low	moderate
Feature_0003	grouptreatment	2.353583	0.232159	10.1378	0.00e0	0.00e0	0.1250	0.0416	low	very_high
Feature_0005	grouptreatment	0.331374	0.434204	0.7632	4.45e-1	6.33e-1	0.1750	0.0120	low	not_significant
Feature_0006	grouptreatment	2.736837	0.579069	4.7263	2.29e-6	4.12e-5	0.0750	0.0046	rare	very_high
Feature_0007	grouptreatment	-0.625264	0.668296	-0.9356	3.49e-1	5.55e-1	0.1500	0.0286	low	not_significant
Feature_0008	grouptreatment	-0.216028	0.501071	-0.4311	6.66e-1	8.50e-1	0.1000	0.0072	low	not_significant
Feature_0009	grouptreatment	1.164711	0.616743	1.8885	5.90e-2	1.65e-1	0.1750	0.0234	low	suggestive
Feature_0010	grouptreatment	1.628122	1.186914	1.3717	1.70e-1	3.28e-1	0.0750	0.0074	rare	not_significant
Feature_0011	grouptreatment	0.647651	0.462186	1.4013	1.61e-1	3.17e-1	0.2000	0.0107	low	not_significant
Feature_0012	grouptreatment	-1.358250	0.835950	-1.6248	1.04e-1	2.52e-1	0.1500	0.0114	low	not_significant
Feature_0013	grouptreatment	0.041508	0.866358	0.0479	9.62e-1	1.00e0	0.1500	0.0134	low	not_significant
Feature_0014	grouptreatment	1.017417	0.357796	2.8436	4.46e-3	2.33e-2	0.2250	0.0167	low	moderate
Feature_0015	grouptreatment	-19.305391	2219.189411	-0.0087	9.93e-1	1.00e0	0.0500	0.0026	rare	not_significant
Feature_0016	grouptreatment	0.411897	0.734920	0.5605	5.75e-1	7.58e-1	0.2000	0.0161	low	not_significant
Feature_0017	grouptreatment	-0.048654	0.884971	-0.0550	9.56e-1	1.00e0	0.2250	0.0153	low	not_significant
Feature_0018	grouptreatment	0.000000	0.578886	0.0000	1.00e0	1.00e0	0.0500	0.0099	rare	not_significant
Feature_0019	grouptreatment	1.427153	0.639183	2.2328	2.56e-2	9.41e-2	0.1500	0.0159	low	low
Feature_0020	grouptreatment	0.832417	0.403260	2.0642	3.90e-2	1.26e-1	0.2250	0.0130	low	suggestive
Feature_0021	grouptreatment	1.913243	0.375403	5.0965	3.46e-7	9.34e-6	0.1750	0.0177	low	very_high
Feature_0022	grouptreatment	2.191676	0.798064	2.7462	6.03e-3	2.96e-2	0.1500	0.0072	low	moderate
Feature_0023	grouptreatment	3.909474	0.855240	4.5712	4.85e-6	7.86e-5	0.1750	0.0091	low	very_high
Feature_0024	grouptreatment	0.225226	0.336314	0.6697	5.03e-1	6.97e-1	0.2750	0.0210	medium	not_significant
Feature_0025	grouptreatment	0.747505	0.390701	1.9132	5.57e-2	1.58e-1	0.2000	0.0117	low	suggestive
Feature_0026	grouptreatment	-0.014621	0.416959	-0.0351	9.72e-1	1.00e0	0.1500	0.0050	low	not_significant
