feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
Feature_0000	grouptreatment	1.187522	0.964518	1.2312	2.18e-1	9.83e-1	0.1250	0.0856	low	not_significant
Feature_0001	grouptreatment	-0.345232	1.065683	-0.3240	7.46e-1	1.00e0	0.1250	0.0918	low	not_significant
Feature_0002	grouptreatment	0.778645	0.894652	0.8703	3.84e-1	1.00e0	0.1750	0.1296	low	not_significant
Feature_0003	grouptreatment	2.353583	1.191262	1.9757	4.82e-2	5.92e-1	0.1250	0.0483	low	not_significant
Feature_0005	grouptreatment	0.331357	0.880218	0.3764	7.07e-1	1.00e0	0.1750	0.0133	low	not_significant
Feature_0006	grouptreatment	2.736624	1.231432	2.2223	2.63e-2	4.33e-1	0.0750	0.0047	rare	not_significant
Feature_0007	grouptreatment	-0.625058	1.070940	-0.5837	5.59e-1	1.00e0	0.1500	0.0323	low	not_significant
Feature_0008	grouptreatment	-0.216026	1.233790	-0.1751	8.61e-1	1.00e0	0.1000	0.0076	low	not_significant
Feature_0009	grouptreatment	1.161226	0.931489	1.2466	2.13e-1	9.83e-1	0.1750	0.0208	low	not_significant
Feature_0010	grouptreatment	1.595708	1.414868	1.1278	2.59e-1	1.00e0	0.0750	0.0097	rare	not_significant
Feature_0011	grouptreatment	0.646728	0.850183	0.7607	4.47e-1	1.00e0	0.2000	0.0112	low	not_significant
Feature_0012	grouptreatment	-1.335001	1.027871	-1.2988	1.94e-1	9.65e-1	0.1500	0.0119	low	not_significant
Feature_0013	grouptreatment	0.040822	1.185800	0.0344	9.73e-1	1.00e0	0.1500	0.0165	low	not_significant
Feature_0014	grouptreatment	1.017343	0.735493	1.3832	1.67e-1	9.65e-1	0.2250	0.0179	low	not_significant
Feature_0015	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.0500	0.0025	rare	not_significant
Feature_0016	grouptreatment	0.405465	0.985685	0.4114	6.81e-1	1.00e0	0.2000	0.0168	low	not_significant
Feature_0017	grouptreatment	-0.046743	1.087230	-0.0430	9.66e-1	1.00e0	0.2250	0.0176	low	not_significant
Feature_0018	grouptreatment	0.000000	1.414220	0.0000	1.00e0	1.00e0	0.0500	0.0088	rare	not_significant
Feature_0019	grouptreatment	1.415044	0.951860	1.4866	1.37e-1	9.43e-1	0.1500	0.0148	low	not_significant
Feature_0020	grouptreatment	0.832260	0.864422	0.9628	3.36e-1	1.00e0	0.2250	0.0131	low	not_significant
Feature_0021	grouptreatment	1.912388	0.811213	2.3574	1.84e-2	3.80e-1	0.1750	0.0180	low	not_significant
Feature_0022	grouptreatment	2.156733	0.942666	2.2879	2.21e-2	4.06e-1	0.1500	0.0079	low	not_significant
Feature_0023	grouptreatment	3.440287	0.907915	3.7892	1.51e-4	8.31e-3	0.1750	0.0088	low	high
Feature_0024	grouptreatment	0.224881	0.682813	0.3293	7.42e-1	1.00e0	0.2750	0.0215	medium	not_significant
Feature_0025	grouptreatment	0.747214	0.795368	0.9395	3.47e-1	1.00e0	0.2000	0.0130	low	not_significant
Feature_0026	grouptreatment	-0.014599	0.937793	-0.0156	9.88e-1	1.00e0	0.1500	0.0051	low	not_significant
Feature_0027	grouptreatment	1.179581	1.012817	1.1647	2.44e-1	9.83e-1	0.1500	0.0067	low	not_significant
Feature_0028	grouptreatment	1.791760	0.837223	2.1401	3.23e-2	4.85e-1	0.1750	0.0152	low	not_significant
Feature_0029	grouptreatment	0.573346	1.414244	0.4054	6.85e-1	1.00e0	0.0500	0.0015	rare	not_significant
Feature_0030	grouptreatment	-0.055730	1.005577	-0.0554	9.56e-1	1.00e0	0.1750	0.0204	low	not_significant
Feature_0031	grouptreatment	1.578188	1.194327	1.3214	1.86e-1	9.65e-1	0.1500	0.0059	low	not_significant
Feature_0032	grouptreatment	-0.447531	0.944798	-0.4737	6.36e-1	1.00e0	0.1250	0.0129	low	not_significant
Feature_0033	grouptreatment	2.002333	1.231948	1.6253	1.04e-1	9.43e-1	0.1000	0.0053	low	not_significant
Feature_0034	grouptreatment	1.114873	0.947611	1.1765	2.39e-1	9.83e-1	0.1500	0.0100	low	not_significant
