feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
Feature_0000	grouptreatment	-0.261687	0.820972	-0.3188	7.52e-1	9.57e-1	0.1250	0.5604	low	not_significant
Feature_0001	grouptreatment	-0.448171	0.880665	-0.5089	6.14e-1	9.52e-1	0.1250	0.6492	low	not_significant
Feature_0002	grouptreatment	-1.088707	0.971988	-1.1201	2.70e-1	9.29e-1	0.1750	1.0210	low	not_significant
Feature_0003	grouptreatment	-0.667574	0.621889	-1.0735	2.90e-1	9.29e-1	0.1250	0.3262	low	not_significant
Feature_0005	grouptreatment	-0.198705	0.624122	-0.3184	7.52e-1	9.57e-1	0.1750	0.5043	low	not_significant
Feature_0006	grouptreatment	-0.069602	0.412645	-0.1687	8.67e-1	9.73e-1	0.0750	-0.0355	rare	not_significant
Feature_0007	grouptreatment	0.536726	0.675821	0.7942	4.32e-1	9.52e-1	0.1500	0.4952	low	not_significant
Feature_0008	grouptreatment	-0.495003	0.446606	-1.1084	2.75e-1	9.29e-1	0.1000	0.0765	low	not_significant
Feature_0009	grouptreatment	0.841693	0.576168	1.4608	1.52e-1	9.29e-1	0.1750	0.4497	low	not_significant
Feature_0010	grouptreatment	0.258651	0.390688	0.6620	5.12e-1	9.52e-1	0.0750	-0.0561	rare	not_significant
Feature_0011	grouptreatment	-0.312312	0.541889	-0.5763	5.68e-1	9.52e-1	0.2000	0.4467	low	not_significant
Feature_0012	grouptreatment	-0.576461	0.512759	-1.1242	2.68e-1	9.29e-1	0.1500	0.2402	low	not_significant
Feature_0013	grouptreatment	0.204916	0.503068	0.4073	6.86e-1	9.52e-1	0.1500	0.1992	low	not_significant
Feature_0014	grouptreatment	-0.043241	0.644575	-0.0671	9.47e-1	9.76e-1	0.2250	0.6797	low	not_significant
Feature_0015	grouptreatment	-0.508353	0.337761	-1.5051	1.41e-1	9.29e-1	0.0500	-0.1445	rare	not_significant
Feature_0016	grouptreatment	0.104001	0.595981	0.1745	8.62e-1	9.73e-1	0.2000	0.5062	low	not_significant
Feature_0017	grouptreatment	-0.075879	0.617652	-0.1229	9.03e-1	9.73e-1	0.2250	0.5757	low	not_significant
Feature_0018	grouptreatment	-0.022909	0.227366	-0.1008	9.20e-1	9.73e-1	0.0500	-0.2400	rare	not_significant
Feature_0019	grouptreatment	0.210855	0.485993	0.4339	6.67e-1	9.52e-1	0.1500	0.1946	low	not_significant
Feature_0020	grouptreatment	-0.354692	0.593796	-0.5973	5.54e-1	9.52e-1	0.2250	0.5777	low	not_significant
Feature_0021	grouptreatment	0.121485	0.532850	0.2280	8.21e-1	9.61e-1	0.1750	0.3400	low	not_significant
Feature_0022	grouptreatment	0.293123	0.551146	0.5318	5.98e-1	9.52e-1	0.1500	0.3087	low	not_significant
Feature_0023	grouptreatment	0.869429	0.455526	1.9086	6.39e-2	9.29e-1	0.1750	0.2199	low	not_significant
Feature_0024	grouptreatment	-0.139055	0.566110	-0.2456	8.07e-1	9.61e-1	0.2750	0.6605	medium	not_significant
Feature_0025	grouptreatment	0.560036	0.543707	1.0300	3.10e-1	9.29e-1	0.2000	0.4494	low	not_significant
Feature_0026	grouptreatment	-0.373054	0.393356	-0.9484	3.49e-1	9.29e-1	0.1500	0.1236	low	not_significant
Feature_0027	grouptreatment	0.153057	0.497503	0.3077	7.60e-1	9.57e-1	0.1500	0.2529	low	not_significant
Feature_0028	grouptreatment	0.171911	0.519588	0.3309	7.43e-1	9.57e-1	0.1750	0.3061	low	not_significant
Feature_0029	grouptreatment	0.005410	0.305459	0.0177	9.86e-1	9.92e-1	0.0500	-0.1659	rare	not_significant
Feature_0030	grouptreatment	0.753057	0.529355	1.4226	1.63e-1	9.29e-1	0.1750	0.3488	low	not_significant
Feature_0031	grouptreatment	-0.554581	0.407558	-1.3607	1.82e-1	9.29e-1	0.1500	0.1208	low	not_significant
Feature_0032	grouptreatment	-0.297389	0.485698	-0.6123	5.44e-1	9.52e-1	0.1250	0.1805	low	not_significant
Feature_0033	grouptreatment	0.024866	0.340539	0.0730	9.42e-1	9.76e-1	0.1000	-0.0863	low	not_significant
Feature_0034	grouptreatment	-0.215019	0.438767	-0.4901	6.27e-1	9.52e-1	0.1500	0.1619	low	not_significant
Feature_0035	grouptreatment	0.152952	0.425479	0.3595	7.21e-1	9.52e-1	0.1750	0.2099	low	not_significant
Feature_0036	grouptreatment	-0.314184	0.405397	-0.7750	4.43e-1	9.52e-1	0.1250	0.0792	low	not_significant
Feature_0037	grouptreatment	-0.509966	0.417335	-1.2220	2.29e-1	9.29e-1	0.1000	0.0444	low	not_significant
Feature_0038	grouptreatment	-0.364006	0.305620	-1.1910	2.41e-1	9.29e-1	0.1250	-0.0361	low	not_significant
Feature_0039	grouptreatment	0.397515	0.408718	0.9726	3.37e-1	9.29e-1	0.1000	0.0155	low	not_significant
Feature_0040	grouptreatment	0.004234	0.494085	0.0086	9.93e-1	9.93e-1	0.2250	0.4204	low	not_significant
Feature_0041	grouptreatment	0.142897	0.456655	0.3129	7.56e-1	9.57e-1	0.1750	0.2670	low	not_significant
Feature_0042	grouptreatment	0.523343	0.375740	1.3928	1.72e-1	9.29e-1	0.1500	0.0881	low	not_significant
Feature_0043	grouptreatment	-0.212730	0.516280	-0.4120	6.83e-1	9.52e-1	0.2250	0.4090	low	not_significant
Feature_0044	grouptreatment	-0.021692	0.378221	-0.0574	9.55e-1	9.78e-1	0.1250	0.0517	low	not_significant
Feature_0045	grouptreatment	-0.780687	0.385695	-2.0241	5.00e-2	9.29e-1	0.2000	0.2150	low	not_significant
Feature_0046	grouptreatment	-0.233014	0.556189	-0.4189	6.78e-1	9.52e-1	0.2250	0.4966	low	not_significant
Feature_0047	grouptreatment	0.165064	0.407717	0.4049	6.88e-1	9.52e-1	0.1500	0.1352	low	not_significant
Feature_0048	grouptreatment	0.256626	0.261434	0.9816	3.33e-1	9.29e-1	0.1000	-0.1192	low	not_significant
Feature_0049	grouptreatment	0.233693	0.266063	0.8783	3.85e-1	9.52e-1	0.1000	-0.1390	low	not_significant
Feature_0050	grouptreatment	0.159910	0.325373	0.4915	6.26e-1	9.52e-1	0.1500	-0.0105	low	not_significant
Feature_0051	grouptreatment	0.216517	0.347129	0.6237	5.37e-1	9.52e-1	0.1250	-0.0110	low	not_significant
Feature_0052	grouptreatment	0.128001	0.345104	0.3709	7.13e-1	9.52e-1	0.1250	-0.0141	low	not_significant
Feature_0053	grouptreatment	-0.672044	0.402406	-1.6701	1.03e-1	9.29e-1	0.1500	0.1319	low	not_significant
Feature_0054	grouptreatment	0.348293	0.461869	0.7541	4.55e-1	9.52e-1	0.2000	0.3073	low	not_significant
Feature_0055	grouptreatment	0.251022	0.355674	0.7058	4.85e-1	9.52e-1	0.1500	0.0737	low	not_significant
Feature_0056	grouptreatment	-0.272762	0.310287	-0.8791	3.85e-1	9.52e-1	0.1000	-0.0742	low	not_significant
Feature_0057	grouptreatment	-0.684661	0.397676	-1.7217	9.33e-2	9.29e-1	0.1250	0.0791	low	not_significant
Feature_0058	grouptreatment	0.249795	0.329644	0.7578	4.53e-1	9.52e-1	0.1250	0.0013	low	not_significant
Feature_0059	grouptreatment	-0.414240	0.245650	-1.6863	9.99e-2	9.29e-1	0.1250	-0.0943	low	not_significant
Feature_0060	grouptreatment	-0.042669	0.344946	-0.1237	9.02e-1	9.73e-1	0.1000	-0.0348	low	not_significant
Feature_0061	grouptreatment	0.059928	0.460143	0.1302	8.97e-1	9.73e-1	0.2750	0.4289	medium	not_significant
Feature_0062	grouptreatment	0.821881	0.402979	2.0395	4.84e-2	9.29e-1	0.2250	0.2905	low	not_significant
Feature_0063	grouptreatment	0.215655	0.347718	0.6202	5.39e-1	9.52e-1	0.1250	0.0203	low	not_significant
Feature_0064	grouptreatment	-0.323589	0.333306	-0.9708	3.38e-1	9.29e-1	0.1500	0.0378	low	not_significant
Feature_0065	grouptreatment	0.275940	0.394874	0.6988	4.89e-1	9.52e-1	0.1750	0.1491	low	not_significant
Feature_0066	grouptreatment	0.135791	0.292803	0.4638	6.45e-1	9.52e-1	0.0750	-0.1362	rare	not_significant
Feature_0067	grouptreatment	-0.425225	0.397353	-1.0701	2.91e-1	9.29e-1	0.1750	0.1631	low	not_significant
Feature_0068	grouptreatment	-0.077840	0.132250	-0.5886	5.60e-1	9.52e-1	0.0500	-0.3048	rare	not_significant
Feature_0069	grouptreatment	0.348535	0.399680	0.8720	3.89e-1	9.52e-1	0.2000	0.2193	low	not_significant
Feature_0070	grouptreatment	-0.396867	0.413229	-0.9604	3.43e-1	9.29e-1	0.2250	0.2816	low	not_significant
Feature_0071	grouptreatment	0.122162	0.275232	0.4439	6.60e-1	9.52e-1	0.0750	-0.1537	rare	not_significant
Feature_0072	grouptreatment	-0.404891	0.310331	-1.3047	2.00e-1	9.29e-1	0.2000	0.0365	low	not_significant
Feature_0073	grouptreatment	0.495541	0.285426	1.7361	9.06e-2	9.29e-1	0.0750	-0.1280	rare	not_significant
Feature_0074	grouptreatment	0.353358	0.317737	1.1121	2.73e-1	9.29e-1	0.1500	0.0286	low	not_significant
Feature_0075	grouptreatment	-0.498998	0.394237	-1.2657	2.13e-1	9.29e-1	0.2250	0.2385	low	not_significant
Feature_0076	grouptreatment	0.347016	0.415939	0.8343	4.09e-1	9.52e-1	0.3000	0.4163	medium	not_significant
Feature_0077	grouptreatment	-0.399994	0.277794	-1.4399	1.58e-1	9.29e-1	0.1500	-0.0465	low	not_significant
Feature_0078	grouptreatment	-0.189819	0.378818	-0.5011	6.19e-1	9.52e-1	0.1500	0.0980	low	not_significant
Feature_0079	grouptreatment	-0.055296	0.332708	-0.1662	8.69e-1	9.73e-1	0.2000	0.0590	low	not_significant
Feature_0080	grouptreatment	-0.033428	0.278472	-0.1200	9.05e-1	9.73e-1	0.1000	-0.1158	low	not_significant
Feature_0081	grouptreatment	-0.206087	0.288348	-0.7147	4.79e-1	9.52e-1	0.2000	0.0229	low	not_significant
Feature_0082	grouptreatment	0.102213	0.295729	0.3456	7.32e-1	9.57e-1	0.1500	-0.0355	low	not_significant
Feature_0083	grouptreatment	-0.200452	0.345782	-0.5797	5.66e-1	9.52e-1	0.2250	0.1801	low	not_significant
Feature_0084	grouptreatment	0.057169	0.239897	0.2383	8.13e-1	9.61e-1	0.1000	-0.1506	low	not_significant
Feature_0085	grouptreatment	-0.246205	0.206463	-1.1925	2.40e-1	9.29e-1	0.0750	-0.2206	rare	not_significant
Feature_0086	grouptreatment	0.745596	0.302408	2.4655	1.83e-2	9.29e-1	0.1250	-0.0030	low	not_significant
Feature_0087	grouptreatment	-0.092765	0.236376	-0.3924	6.97e-1	9.52e-1	0.0750	-0.1955	rare	not_significant
Feature_0088	grouptreatment	-0.274173	0.327780	-0.8365	4.08e-1	9.52e-1	0.2000	0.1112	low	not_significant
Feature_0089	grouptreatment	0.114056	0.238391	0.4784	6.35e-1	9.52e-1	0.1500	-0.1116	low	not_significant
Feature_0090	grouptreatment	-0.367469	0.240649	-1.5270	1.35e-1	9.29e-1	0.1250	-0.1176	low	not_significant
Feature_0091	grouptreatment	0.278512	0.290787	0.9578	3.44e-1	9.29e-1	0.1750	0.0176	low	not_significant
Feature_0092	grouptreatment	0.264719	0.177093	1.4948	1.43e-1	9.29e-1	0.0750	-0.2434	rare	not_significant
Feature_0093	grouptreatment	0.262113	0.265297	0.9880	3.29e-1	9.29e-1	0.1500	-0.0699	low	not_significant
Feature_0094	grouptreatment	0.247896	0.194489	1.2746	2.10e-1	9.29e-1	0.1000	-0.1969	low	not_significant
Feature_0095	grouptreatment	-0.027914	0.260366	-0.1072	9.15e-1	9.73e-1	0.1000	-0.1176	low	not_significant
Feature_0096	grouptreatment	0.128469	0.250430	0.5130	6.11e-1	9.52e-1	0.1500	-0.0726	low	not_significant
Feature_0097	grouptreatment	-0.152838	0.253918	-0.6019	5.51e-1	9.52e-1	0.1500	-0.1025	low	not_significant
Feature_0098	grouptreatment	-0.017499	0.188395	-0.0929	9.26e-1	9.74e-1	0.1000	-0.2067	low	not_significant
Feature_0099	grouptreatment	0.749773	0.247220	3.0328	4.35e-3	7.18e-1	0.1750	-0.0009	low	not_significant
Feature_0100	grouptreatment	-0.217500	0.182475	-1.1919	2.41e-1	9.29e-1	0.0750	-0.2350	rare	not_significant
Feature_0101	grouptreatment	0.167376	0.336845	0.4969	6.22e-1	9.52e-1	0.2500	0.1803	medium	not_significant
Feature_0102	grouptreatment	0.397662	0.272218	1.4608	1.52e-1	9.29e-1	0.1500	-0.0415	low	not_significant
Feature_0104	grouptreatment	-0.022909	0.094162	-0.2433	8.09e-1	9.61e-1	0.0500	-0.3323	rare	not_significant
Feature_0105	grouptreatment	-0.258386	0.253464	-1.0194	3.14e-1	9.29e-1	0.1000	-0.1341	low	not_significant
Feature_0106	grouptreatment	-0.035475	0.279975	-0.1267	9.00e-1	9.73e-1	0.1500	-0.0570	low	not_significant
Feature_0108	grouptreatment	0.481429	0.309801	1.5540	1.28e-1	9.29e-1	0.2000	0.0671	low	not_significant
Feature_0110	grouptreatment	0.052620	0.244452	0.2153	8.31e-1	9.65e-1	0.1250	-0.1105	low	not_significant
Feature_0111	grouptreatment	0.090525	0.170901	0.5297	5.99e-1	9.52e-1	0.0500	-0.2756	rare	not_significant
Feature_0112	grouptreatment	-0.336079	0.265735	-1.2647	2.14e-1	9.29e-1	0.1750	-0.0235	low	not_significant
Feature_0113	grouptreatment	-0.100074	0.226672	-0.4415	6.61e-1	9.52e-1	0.1250	-0.1328	low	not_significant
Feature_0114	grouptreatment	0.010255	0.300213	0.0342	9.73e-1	9.91e-1	0.1500	-0.0013	low	not_significant
Feature_0115	grouptreatment	-0.255607	0.208733	-1.2246	2.28e-1	9.29e-1	0.1250	-0.1610	low	not_significant
Feature_0116	grouptreatment	0.222985	0.229808	0.9703	3.38e-1	9.29e-1	0.1500	-0.1120	low	not_significant
Feature_0117	grouptreatment	-0.020118	0.278052	-0.0724	9.43e-1	9.76e-1	0.1750	-0.0088	low	not_significant
Feature_0118	grouptreatment	-0.087874	0.129449	-0.6788	5.01e-1	9.52e-1	0.0500	-0.2998	rare	not_significant
Feature_0120	grouptreatment	-0.093979	0.261606	-0.3592	7.21e-1	9.52e-1	0.1500	-0.0641	low	not_significant
Feature_0121	grouptreatment	0.226612	0.151210	1.4987	1.42e-1	9.29e-1	0.0750	-0.2625	rare	not_significant
Feature_0122	grouptreatment	0.179243	0.220581	0.8126	4.22e-1	9.52e-1	0.1250	-0.1339	low	not_significant
Feature_0123	grouptreatment	0.029079	0.214929	0.1353	8.93e-1	9.73e-1	0.1500	-0.1285	low	not_significant
Feature_0124	grouptreatment	0.187820	0.264239	0.7108	4.82e-1	9.52e-1	0.1250	-0.0915	low	not_significant
Feature_0125	grouptreatment	0.249212	0.201187	1.2387	2.23e-1	9.29e-1	0.1750	-0.0902	low	not_significant
Feature_0126	grouptreatment	-0.122737	0.163477	-0.7508	4.57e-1	9.52e-1	0.1250	-0.2174	low	not_significant
Feature_0128	grouptreatment	0.264719	0.156473	1.6918	9.89e-2	9.29e-1	0.0750	-0.2434	rare	not_significant
Feature_0129	grouptreatment	0.240741	0.195285	1.2328	2.25e-1	9.29e-1	0.1000	-0.2005	low	not_significant
Feature_0130	grouptreatment	-0.282055	0.245073	-1.1509	2.57e-1	9.29e-1	0.1500	-0.0673	low	not_significant
Feature_0131	grouptreatment	0.048160	0.210831	0.2284	8.21e-1	9.61e-1	0.1500	-0.1445	low	not_significant
