feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
Feature_0000	grouptreatment	0.782057	11.905805	0.0657	9.48e-1	1.00e0	0.1250	0.0856	low	not_significant
Feature_0001	grouptreatment	-0.750697	16.776947	-0.0447	9.64e-1	1.00e0	0.1250	0.0918	low	not_significant
Feature_0002	grouptreatment	-0.137646	14.618750	-0.0094	9.92e-1	1.00e0	0.1750	0.1296	low	not_significant
Feature_0003	grouptreatment	0.967289	8.161231	0.1185	9.06e-1	1.00e0	0.1250	0.0483	low	not_significant
Feature_0005	grouptreatment	0.043675	3.379845	0.0129	9.90e-1	1.00e0	0.1750	0.0133	low	not_significant
Feature_0006	grouptreatment	2.043476	4.247287	0.4811	6.30e-1	1.00e0	0.0750	0.0047	rare	not_significant
Feature_0007	grouptreatment	0.068089	6.317710	0.0108	9.91e-1	1.00e0	0.1500	0.0323	low	not_significant
Feature_0008	grouptreatment	-1.314638	2.300805	-0.5714	5.68e-1	1.00e0	0.1000	0.0076	low	not_significant
Feature_0009	grouptreatment	2.077517	2.851309	0.7286	4.66e-1	1.00e0	0.1750	0.0208	low	not_significant
Feature_0010	grouptreatment	2.288855	3.147419	0.7272	4.67e-1	1.00e0	0.0750	0.0097	rare	not_significant
Feature_0011	grouptreatment	0.135902	2.307395	0.0589	9.53e-1	1.00e0	0.2000	0.0112	low	not_significant
Feature_0012	grouptreatment	-2.028148	3.196220	-0.6345	5.26e-1	1.00e0	0.1500	0.0119	low	not_significant
Feature_0013	grouptreatment	0.040822	4.001489	0.0102	9.92e-1	1.00e0	0.1500	0.0165	low	not_significant
Feature_0014	grouptreatment	0.794200	2.901083	0.2738	7.84e-1	1.00e0	0.2250	0.0179	low	not_significant
Feature_0015	grouptreatment	-25.693147	22360.679843	-0.0011	9.99e-1	1.00e0	0.0500	0.0025	rare	not_significant
Feature_0016	grouptreatment	0.405465	3.775383	0.1074	9.14e-1	1.00e0	0.2000	0.0168	low	not_significant
Feature_0017	grouptreatment	-0.269887	4.379145	-0.0616	9.51e-1	1.00e0	0.2250	0.0176	low	not_significant
Feature_0018	grouptreatment	0.000000	0.988546	0.0000	1.00e0	1.00e0	0.0500	0.0088	rare	not_significant
Feature_0019	grouptreatment	1.415044	2.624634	0.5391	5.90e-1	1.00e0	0.1500	0.0148	low	not_significant
Feature_0020	grouptreatment	0.139113	2.842080	0.0489	9.61e-1	1.00e0	0.2250	0.0131	low	not_significant
