feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
Feature_0000	grouptreatment	1.187522	0.389921	3.0455	2.32e-3	1.67e-2	0.1250	0.0856	low	moderate
Feature_0001	grouptreatment	-0.345232	0.611751	-0.5643	5.73e-1	8.73e-1	0.1250	0.0918	low	not_significant
Feature_0002	grouptreatment	0.778645	0.253123	3.0762	2.10e-3	1.61e-2	0.1750	0.1296	low	moderate
Feature_0003	grouptreatment	2.353583	0.232159	10.1378	0.00e0	0.00e0	0.1250	0.0483	low	very_high
Feature_0005	grouptreatment	0.331374	0.434204	0.7632	4.45e-1	7.91e-1	0.1750	0.0133	low	not_significant
Feature_0006	grouptreatment	2.736837	0.579069	4.7263	2.29e-6	7.55e-5	0.0750	0.0047	rare	very_high
Feature_0007	grouptreatment	-0.625264	0.668296	-0.9356	3.49e-1	6.63e-1	0.1500	0.0323	low	not_significant
Feature_0008	grouptreatment	-0.216028	0.501071	-0.4311	6.66e-1	9.52e-1	0.1000	0.0076	low	not_significant
Feature_0009	grouptreatment	1.164711	0.616743	1.8885	5.90e-2	1.91e-1	0.1750	0.0208	low	suggestive
Feature_0010	grouptreatment	1.628122	1.186914	1.3717	1.70e-1	4.01e-1	0.0750	0.0097	rare	not_significant
Feature_0011	grouptreatment	0.647651	0.462186	1.4013	1.61e-1	3.85e-1	0.2000	0.0112	low	not_significant
Feature_0012	grouptreatment	-1.358250	0.835950	-1.6248	1.04e-1	2.96e-1	0.1500	0.0119	low	not_significant
Feature_0013	grouptreatment	0.041508	0.866358	0.0479	9.62e-1	1.00e0	0.1500	0.0165	low	not_significant
Feature_0014	grouptreatment	1.017417	0.357796	2.8436	4.46e-3	3.07e-2	0.2250	0.0179	low	moderate
Feature_0015	grouptreatment	-19.305391	2219.189411	-0.0087	9.93e-1	1.00e0	0.0500	0.0025	rare	not_significant
Feature_0016	grouptreatment	0.411897	0.734920	0.5605	5.75e-1	8.73e-1	0.2000	0.0168	low	not_significant
Feature_0017	grouptreatment	-0.048654	0.884971	-0.0550	9.56e-1	1.00e0	0.2250	0.0176	low	not_significant
Feature_0018	grouptreatment	0.000000	0.578886	0.0000	1.00e0	1.00e0	0.0500	0.0088	rare	not_significant
Feature_0019	grouptreatment	1.427153	0.639183	2.2328	2.56e-2	1.24e-1	0.1500	0.0148	low	suggestive
Feature_0020	grouptreatment	0.832417	0.403260	2.0642	3.90e-2	1.55e-1	0.2250	0.0131	low	suggestive
Feature_0021	grouptreatment	1.913243	0.375403	5.0965	3.46e-7	1.90e-5	0.1750	0.0180	low	very_high
Feature_0022	grouptreatment	2.191676	0.798064	2.7462	6.03e-3	3.98e-2	0.1500	0.0079	low	moderate
Feature_0023	grouptreatment	3.909474	0.855240	4.5712	4.85e-6	1.15e-4	0.1750	0.0088	low	very_high
Feature_0024	grouptreatment	0.225226	0.336314	0.6697	5.03e-1	8.22e-1	0.2750	0.0215	medium	not_significant
Feature_0025	grouptreatment	0.747505	0.390701	1.9132	5.57e-2	1.86e-1	0.2000	0.0130	low	suggestive
Feature_0026	grouptreatment	-0.014621	0.416959	-0.0351	9.72e-1	1.00e0	0.1500	0.0051	low	not_significant
Feature_0027	grouptreatment	1.201665	0.790036	1.5210	1.28e-1	3.36e-1	0.1500	0.0067	low	not_significant
Feature_0028	grouptreatment	1.791896	0.304180	5.8909	3.84e-9	3.17e-7	0.1750	0.0152	low	very_high
Feature_0029	grouptreatment	0.573346	0.246054	2.3302	1.98e-2	1.03e-1	0.0500	0.0015	rare	suggestive
Feature_0030	grouptreatment	-0.055823	0.568908	-0.0981	9.22e-1	1.00e0	0.1750	0.0204	low	not_significant
Feature_0031	grouptreatment	1.578255	0.322856	4.8884	1.02e-6	4.19e-5	0.1500	0.0059	low	very_high
Feature_0032	grouptreatment	-0.447531	0.308784	-1.4493	1.47e-1	3.68e-1	0.1250	0.0129	low	not_significant
Feature_0033	grouptreatment	2.254778	1.322167	1.7054	8.81e-2	2.60e-1	0.1000	0.0053	low	not_significant
Feature_0034	grouptreatment	1.115019	0.335855	3.3199	9.00e-4	8.74e-3	0.1500	0.0100	low	high
Feature_0035	grouptreatment	0.163351	0.625425	0.2612	7.94e-1	1.00e0	0.1750	0.0068	low	not_significant
Feature_0036	grouptreatment	-1.364871	0.959330	-1.4227	1.55e-1	3.76e-1	0.1250	0.0047	low	not_significant
Feature_0037	grouptreatment	-1.286902	0.804610	-1.5994	1.10e-1	2.98e-1	0.1000	0.0054	low	not_significant
Feature_0038	grouptreatment	0.815517	0.510282	1.5982	1.10e-1	2.98e-1	0.1250	0.0045	low	not_significant
Feature_0039	grouptreatment	1.122018	1.348415	0.8321	4.05e-1	7.43e-1	0.1000	0.0072	low	not_significant
Feature_0040	grouptreatment	1.050162	0.314958	3.3343	8.55e-4	8.74e-3	0.2250	0.0132	low	high
Feature_0041	grouptreatment	-0.095193	0.439283	-0.2167	8.28e-1	1.00e0	0.1750	0.0065	low	not_significant
Feature_0042	grouptreatment	1.633703	0.636985	2.5647	1.03e-2	6.31e-2	0.1500	0.0066	low	low
Feature_0043	grouptreatment	0.843722	0.550989	1.5313	1.26e-1	3.35e-1	0.2250	0.0117	low	not_significant
